#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4257.526091815715     All      -0.5113349723805363        0.3411951058280849        0.46817864787294106       0.29858975666684495        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5335.46581946635      All      0.4415192664814612         0.49458476139072616       -1.2059551050965567       -0.03653106009412488       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4584.078007893407     All      -0.9466332951362596        0.6218731242897846        -0.6050556857523759       0.4839132868006413         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6042.821442839072     All      1.372548453378349          -0.2692237335288894       -0.14040261572687562      -0.5410447378702998        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7332.8215247914695    All      0.5988416333992231         -0.17639387929815342      1.3174010057678043        -0.1937301546928949        
Check         All|All|All                      All                   All      0.9549410857422377         1.0120353786815528        -0.16583375293506286      0.011197090810166621       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4257.526091815715     All      -0.000411720389455852      0.00025151598135826885    0.00034982420406039113    0.00023164895334540537     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5335.46581946635      All      0.0003791001964122294      0.0002080718628642744     -0.0006859957350661915    -8.632239389316719e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4584.078007893407     All      -0.0006770689244063911     0.00025292356903513526    -0.001387623496683389     0.00024100588742537526     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6042.821442839072     All      0.0002727997677615416      8.50967412696117e-06      -0.0006077118441004429    -0.00011320736686525771    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7332.8215247914695    All      -3.6891589558945062e-06    1.8126631328770206e-05    -5.47431197694228e-05     4.663186604642928e-06      
MWEBV         All|All|All                      All                   All      -0.8313488447465383        -3.9727854258545747       0.1354168374054332        -1.017226213154232         
Redshift      All|All|All                      All                   All      5.290522590776896          -3.9981309391802          4.218694670259504         -2.837359074961415         
