#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4257.526091815715     All      -0.5972374663389082        0.3878287294088345        0.4777561771860683         0.3421885316033336         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5335.46581946635      All      0.6759827925208357         0.3491566632168208        -0.2702977071139796        -0.11852016781062871       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4584.078007893407     All      -0.752950594736783         0.48607668532474335       -0.47706731834201155       0.3823026245761143         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6042.821442839072     All      1.1993592503692185         -0.12698097372876305      -0.5487220746624272        -0.4565195922888385        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7332.8215247914695    All      0.4732402478383426         -0.09907082511286802      0.8162291121302225         -0.1499959884655929        
Check         All|All|All                      All                   All      0.9983942296527053         0.9970102791087676        -0.0021018108021275683     -0.000544592385612136      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4257.526091815715     All      -0.0002264018837151576     0.00013149804129647527    0.00011578490000744307     0.00012174672844060345     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5335.46581946635      All      0.00020767858365151317     9.654384104263446e-05     -3.489776556478342e-05     -3.7757568889659296e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4584.078007893407     All      -0.00031494970149290274    3.671224741036523e-05     -0.0019296618563154522     2.8435920061254385e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6042.821442839072     All      -0.00022652466181969472    8.259750068923617e-05     -0.0014924061757400997     3.4092024896591934e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7332.8215247914695    All      -0.00012071693288504901    6.319039737607838e-05     -0.00019222579361957167    5.132651352939612e-05      
MWEBV         All|All|All                      All                   All      -0.8355712607654828        -3.9691006405348617       0.12471848543497858        -1.015127995851722         
Redshift      All|All|All                      All                   All      6.806842017225401          -2.3570513748211397       12.47367347597127          -2.4283388032047157        
