#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4586.405834790905     All      -0.2888541300171712        0.5894078068086728         0.4007595094251909         0.30396286306745773       
Zeropoint     AB|MEGACAMPSF|i           5616.128130994962     All      1.3563483131534195         0.20806432364590677        -0.28381841443647904       -0.38669938510922164      
Zeropoint     AB|MEGACAMPSF|g           3583.0006665774363    All      -0.6494937265663369        0.24163379549104747        -0.2620395163783608        0.2785759310467586        
Zeropoint     AB|MEGACAMPSF|z           6468.459886465688     All      0.5742193162397224         -0.039716447204085625      0.14283914715646465        -0.19360482093920928      
Check         All|All|All               All                   All      0.9922197728096339         0.9993894787415414         -0.0022592742331843108     0.0022345880657854145     
Lambda        AB|MEGACAMPSF|r           4586.405834790905     All      -0.00019998425086994136    -0.00021455201011732046    -0.0016114722763110726     -7.665780491921695e-05    
Lambda        AB|MEGACAMPSF|i           5616.128130994962     All      -0.0002778319040006531     -8.113458994547745e-05     -0.0008544608516429558     2.5940122925110987e-05    
Lambda        AB|MEGACAMPSF|g           3583.0006665774363    All      -0.001344830794135271      0.00042690863882572673     -0.0010359933844260912     0.000530882195209975      
Lambda        AB|MEGACAMPSF|z           6468.459886465688     All      -0.00012792747266018314    -9.345670133950832e-07     -0.00021236592071058072    3.188885163173893e-05     
MWEBV         All|All|All               All                   All      -0.44012331465095134       -2.6704652375732607        -0.004691329311197229      -0.7267050928462357       
Redshift      All|All|All               All                   All      6.816435019501796          1.3656092508947282         9.228922223749914          -1.363668867737241        
