#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4747.135585850127     All      -1.107303369064775         1.2122873965254577         0.1764084130292276        0.7634393218811847         
Zeropoint     AB|PS|PS_r                6028.5399303782815    All      1.0943550682491978         0.09148974017740841        -0.7404857311682722       -0.3597107078963657        
Zeropoint     AB|PS|PS_z                8391.62745953499      All      0.3256647440129743         -0.11110206588913485       0.015036177089466918      -0.14159832366151537       
Zeropoint     AB|PS|PS_i                7301.867496978812     All      0.6854763642376351         -0.19387831628803198       0.5493846136784719        -0.2619182372806894        
Check         All|All|All               All                   All      0.9981928074350322         0.9987967545256993         0.0003434726288942258     0.0002120530426141798      
Lambda        AB|PS|PS_g                4747.135585850127     All      -0.00048498417174379734    0.00013748867256986602     -0.0012113189769648637    0.00014870428158614887     
Lambda        AB|PS|PS_r                6028.5399303782815    All      -0.00019722401325095157    4.432031901099197e-05      -0.001083707227107421     3.031805933167e-05         
Lambda        AB|PS|PS_z                8391.62745953499      All      0.00044046328731175977     -0.00013571645675787198    -8.665742041608284e-05    -0.00019154782106405052    
Lambda        AB|PS|PS_i                7301.867496978812     All      -0.000194434106257105      8.31500910077242e-05       -0.0014590241626454643    2.530875797472332e-05      
MWEBV         All|All|All               All                   All      -0.6848309969460402        -4.026137596719792         0.04361091626697844       -1.0864273303730214        
Redshift      All|All|All               All                   All      6.6764774234861965         0.3476559238461796         14.233628413954946        -1.4263239110515273        
