#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5403.561722060087     All      0.7095472191872205         0.16332502946099225        -0.16674951561486961      -0.18536380239917438      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6119.945239389619     All      1.1620884976964854         -0.08706795511663756       0.08892362870601134       -0.4029230995701627       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7426.4094357977865    All      0.37215294792066284        -0.05014615895646557       0.176879817846326         -0.12966337844696474      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4311.86438051411      All      -0.6387632547097952        0.4137505825339005         -0.03580431477885615      0.3412406013416913        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4642.584039057304     All      -0.6255977808410252        0.5615103257222032         -0.07496919107473632      0.3833346343276839        
Check         All|All|All                      All                   All      0.9794276292535484         1.0013718236439928         -0.011719574916124742     0.0066249552530733835     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5403.561722060087     All      0.00011794892093618422     2.453745410357126e-05      -0.0010503248196599895    -7.729836062737184e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6119.945239389619     All      -3.453819929153487e-05     -1.0238338303804754e-05    -0.0002066033008934567    -1.304492258851288e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7426.4094357977865    All      -4.922253504846336e-05     -1.8389199329748934e-05    -0.0002938436610648744    -3.069461188004358e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4311.86438051411      All      -0.0004947986388614604     0.00019257154411840932     -0.0007749374243463793    0.00018931718431414196    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4642.584039057304     All      -0.00012320865611271635    1.8675713112287028e-05     -0.0007026481960922194    1.4860445068524207e-05    
MWEBV         All|All|All                      All                   All      -0.8569242982864234        -4.032801346220971         0.02163310673550245       -1.0335222515673563       
Redshift      All|All|All                      All                   All      5.1418820234434985         -0.8070257111397972        6.474141838018285         -1.6488437468321793       
