#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5403.561722060087     All      0.7449780275450546         0.14970305933159622        -0.1652375906037543        -0.2012744358717175       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6119.945239389619     All      1.1753964751942347         -0.08096866952724824       0.09308909313636234        -0.4050853221373946       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7426.4094357977865    All      0.41986641957433507        -0.05646023946042078       0.15501425742790956        -0.14823768917496166      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4311.86438051411      All      -0.6745659809092518        0.40239084114457313        -0.1132749919469472        0.34574532513260364       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4642.584039057304     All      -0.6665544516245859        0.5826684860799958         0.03222765059808895        0.40835118105424106       
Check         All|All|All                      All                   All      0.9991204897797865         0.9973334775684961         0.0018184186116593504      -0.0005009409972290269    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5403.561722060087     All      0.00011220601002340043     -1.1567329539470832e-05    -0.0008927502430857654     -8.015639181290591e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6119.945239389619     All      -0.00020483960999911183    5.389553233181645e-07      -0.00023789102842694125    5.628257147489871e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7426.4094357977865    All      -6.194720348521077e-05     -9.559103146299474e-06     -0.0002437775169236105     6.185856847028224e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4311.86438051411      All      -0.00031783218330706586    7.351018584241868e-05      -0.0007261697738337461     9.506746258444996e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4642.584039057304     All      -8.068585602861211e-05     -9.545888865649777e-05     -0.0008645374928507238     -4.339240037408301e-05    
MWEBV         All|All|All                      All                   All      -0.8677925078871089        -4.02786281429286          0.023295883672329293       -1.028299273727245        
Redshift      All|All|All                      All                   All      5.199805339688243          0.2454644035750242         5.966693238997317          -1.3475257206418847       
