#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4723.969933628043    All      -2.5261337856145083       1.3312304160015387        -0.5949052185074828       1.2299225363780202        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5656.958666363128    All      3.522491512626519         -0.3281316279849733       0.5957348025226042        -1.2276897305100638       
Check         All|All|All                            All                  All      0.9963577270120109        1.0030987880165654        0.000829584015121454      0.002232805867956378      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4723.969933628043    All      -0.0007989651897893425    -7.864167353536853e-05    -0.002319820173959405     0.00013111014736857832    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5656.958666363128    All      -0.0012964860784652546    1.737683069157257e-05     -0.0011558825285967608    0.0003763866458433456     
MWEBV         All|All|All                            All                  All      -0.2829044324213257       -2.6248084054577348       -0.011764960471040793     -0.7633601865214794       
Redshift      All|All|All                            All                  All      5.513551027379891         1.8309748505487278        6.697173305672709         -0.9006721283237793       
