#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5282.764772927779     All      -0.2801503889160437       0.7599063143827856         -0.12063152114536457       0.33339745436544443       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6101.063360410085     All      1.1855685090753376        0.06816252169201675        -0.27411319564605297       -0.3762083046211173       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7427.985792563825     All      0.865460873015562         -0.3192271200505026        0.38084469677344135        -0.3688965047583398       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4267.2581924524075    All      -0.7758446870444459       0.48900047760520593        0.011924028751009175       0.41253379693437786       
Check         All|All|All                                All                   All      0.9950343061304101        0.9978421936295057         -0.0019759912669670143     0.000826441920365184      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5282.764772927779     All      -0.0002302430484567928    0.00019205035911482415     -0.0014019033851414896     7.499434651701396e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6101.063360410085     All      -0.0002594394489197988    -0.00016620034279067914    4.345860849249499e-05      3.2310402440583524e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7427.985792563825     All      -5.706947145880756e-05    -8.367430769726482e-05     -0.00022473289924120245    -1.869486756824169e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4267.2581924524075    All      -0.0006700614472379951    0.0004457988404482197      -0.00012232890335120387    0.00035801342929221497    
MWEBV         All|All|All                                All                   All      -0.768420112676715        -4.030270012426307         0.02345641889496264        -1.0614450717788215       
Redshift      All|All|All                                All                   All      11.06867625200667         -0.012213165728169884      9.618307675197823          -3.180189337535094        
