#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6479.54654959912      All      0.9754719473278047         -0.1324264623175253       0.19079752901948743        -0.3523645433777395        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5421.783560860272     All      0.7031761912120947         0.5473303314236233        -0.39572940673973656       -0.06842370961296917       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3554.5363348772657    All      -0.19347770418981564       0.09633093962531092       0.02986454672926908        0.09573292726939298        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7873.933794324949     All      0.31050197216339004        -0.08051093501091344      0.17220872611120597        -0.11968088328894733       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4333.777423404725     All      -0.8024486081151492        0.5701559315829385        0.002383749834516946       0.4472088317346634         
Check         All|All|All                               All                   All      0.9932237983983245         1.000879805303434         -0.00047485504525712763    0.0024726227244004084      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6479.54654959912      All      -0.0002465180564278941     3.390084958743406e-05     -0.0006641416480932261     6.170407173503458e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5421.783560860272     All      3.124589886521409e-05      0.00014141647237675807    -0.0014390897402468945     -2.8333785310189112e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3554.5363348772657    All      -0.00044625717630793953    0.00022159719815639169    6.749903885513017e-05      0.00022055431361155833     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7873.933794324949     All      2.9157835219034077e-05     -9.064296510721786e-06    5.9801572058309054e-05     -9.781536272888445e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4333.777423404725     All      -0.0005309019237282888     0.00026184301449950863    -0.0009637616132283814     0.00021521485251319519     
MWEBV         All|All|All                               All                   All      -0.9485154389783972        -4.017583442130146        0.05484591259592997        -0.9972488967837478        
Redshift      All|All|All                               All                   All      5.288668231129817          -2.820982021273899        3.730372275334509          -2.475110505108433         
