#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6479.54654959912      All      0.9588264511152            -0.11030915664616003      0.11619230339824502       -0.3430675121158959       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5421.783560860272     All      0.728462430341579          0.5009315644556089        -0.20325774186261075      -0.08318474805249113      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3554.5363348772657    All      -0.2258271768745354        0.1127105814992646        0.012624853671827087      0.11083627469929652       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7873.933794324949     All      0.3148512824756321         -0.07703811767800772      0.1902354684693157        -0.11916193517047023      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4333.777423404725     All      -0.7813779966645429        0.5719740656426886        -0.11511226211474124      0.43569435908713744       
Check         All|All|All                               All                   All      0.9949349903933329         0.9982689372733944        0.0006826215620358012     0.0011164384475766953     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6479.54654959912      All      -0.00032274895083602914    5.646722407935724e-05     -0.000822974072450996     8.679763094123778e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5421.783560860272     All      -1.9488681927843092e-07    9.102400800659315e-05     -0.0013801695028679121    -3.187763096646006e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3554.5363348772657    All      -0.00045428383577181264    0.00022830643622808093    1.5417675396313267e-05    0.00022303012818540344    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7873.933794324949     All      2.1293971089966145e-05     -6.200423206124561e-06    6.96209753436223e-05      -5.848964388929789e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4333.777423404725     All      -0.0003756887474501328     0.00014202245381917696    -0.0008451639974108057    0.00013091978293942327    
MWEBV         All|All|All                               All                   All      -0.9888911710521158        -3.9946674399801374       0.030628971114721692      -0.9777133875847898       
Redshift      All|All|All                               All                   All      5.274545731075163          -1.9910304090133835       3.328698752928258         -2.218092641999145        
