#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5519.9389062782075    All      3.405190477615077         -0.1777280801366743        0.4315382383670019        -1.147816879184193         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4609.548516550546     All      -2.408314344182614        1.1802455971572812         -0.4310937003532356       1.1496743011047237         
Check         All|All|All                            All                   All      0.9968761334324636        1.0025175170206069         0.00044453801376631574    0.001857421920530733       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5519.9389062782075    All      0.00016840006142802627    -0.00015603533493431174    -0.0014823497081825913    -0.0001718297414929489     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4609.548516550546     All      -0.0003018208104442903    -0.00011966720902387334    -0.0017908017695349354    -2.0581837461195194e-05    
MWEBV         All|All|All                            All                   All      -0.2144175236662882       -2.538425830638502         -0.0014240905382711944    -0.7570695138032435        
Redshift      All|All|All                            All                   All      -2.6108131267955326       1.7114802073370683         -0.5115553090987768       1.3850847741974166         
