#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5519.9389062782075    All      3.42489778423118          -0.18166948074238576       0.5302937054818524        -1.151113038215815         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4609.548516550546     All      -2.428051577000506        1.1843910570807026         -0.5292958493011448       1.1530713689664338         
Check         All|All|All                            All                   All      0.9968462072306741        1.0027215763383168         0.0009978561807075792     0.0019583307506187975      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5519.9389062782075    All      0.0002901607064131834     -0.00015906675738037987    -0.0015558569853876092    -0.00021575891556731782    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4609.548516550546     All      -0.0003939473389275831    -8.935109784436303e-05     -0.0019408119881591784    1.2607491434987813e-05     
MWEBV         All|All|All                            All                   All      -0.2157640070263116       -2.538099139940897         -0.0008628974113502276    -0.7564994624950947        
Redshift      All|All|All                            All                   All      -2.993743585788356        1.5963277429491995         -0.8646176737604014       1.456553324896541          
