#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4326.988059372515     All      -0.19345743747518013       0.11389022780790015        -0.09597662773295212       0.09583024992953285        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4730.179180904175     All      -0.2442995048939281        0.36829392387396354        0.24666778201218875        0.21054948368194187        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6122.995447306829     All      0.6055468260430077         -0.025938525669211288      0.0058854579230605         -0.20543291334747873       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5289.510297287363     All      0.2328187639135992         0.13062505569374494        -0.18976279712079602       -0.04175609492684147       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3538.6252444886804    All      -0.24362827370866652       0.11173508177169111        -0.025989101747114773      0.11459376173974037        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6166.218525365167     All      0.4831557763464884         -0.01371065226081214       0.020865633408506667       -0.16091460483072806       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4330.054748308979     All      -0.3292318597822466        0.23347634244128557        -0.08130902139349416       0.17966412582821611        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7486.299501668171     All      0.2167228139264493         -0.02714521162472394       0.1018935045902225         -0.07488879981182826       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5351.160473304186     All      0.2892548768844416         0.12937038295186554        -0.06431186488304874       -0.05494958287347029       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7512.444916278156     All      0.17752319038749767        -0.02372104320969015       0.08260685016034941        -0.061865503298117255      
Check         All|All|All                                All                   All      0.9944051716414624         0.9968755817760133         0.0005698152169220094      0.0008301220909671669      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4326.988059372515     All      -0.00016705743347893474    6.538884791825757e-05      -0.00022823840582066895    6.553016931588295e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4730.179180904175     All      -8.13398203969584e-05      1.777917418132449e-05      -0.0002224130021830338     2.236104667075155e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6122.995447306829     All      3.5532767641029435e-05     1.930069615564704e-06      1.716805896276372e-05      -1.0179372621357037e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5289.510297287363     All      4.772794718771354e-05      3.261471148363318e-05      -0.000657323682710043      -3.425621506037664e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3538.6252444886804    All      -0.00011417115719184093    4.9859158006776606e-05     8.607949110828646e-05      5.7271402436629574e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6166.218525365167     All      -7.877034374154825e-06     -3.7740338881041434e-06    4.9967011336213975e-05     3.566280468766122e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4330.054748308979     All      -0.00021275992892471468    7.33874550200053e-05       -0.0004188279936355629     7.451724717154654e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7486.299501668171     All      -6.867274972889054e-06     -3.863596204772489e-06     -5.1851385520629243e-05    -1.3354921981138904e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5351.160473304186     All      7.249328279297324e-05      2.094047055931466e-05      -0.0004112719330450389     -3.5145624449781403e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7512.444916278156     All      -3.0344921666884227e-05    9.699485043391594e-07      -5.1426643481365515e-05    7.905348538852219e-06      
MWEBV         All|All|All                                All                   All      -1.0311808756327254        -3.949539407445979         0.009378011151328636       -0.9501868873894207        
Redshift      All|All|All                                All                   All      4.645448696654606          0.6801709605618989         5.661836410199017          -1.038959657294932         
