#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6319.339234367        All      1.1438453118816012        0.11617453548176115        1.4556453029157534        -0.2697874169056619        
Zeropoint     AB|SDSS|SDSS_g            3987.9626394328343    All      -0.8249306987320716       0.5819678522023253         -0.23061584389423295      0.4479818176941            
Zeropoint     AB|SDSS|SDSS_u            3032.7919468792343    All      -0.06481688385000535      0.01683940576917564        -0.12738354082320047      0.02091359756560343        
Zeropoint     AB|SDSS|SDSS_r            5211.074994818828     All      0.6671731311766362        0.2812578158733814         -1.2728981420007335       -0.18250891229881286       
Zeropoint     AB|SDSS|SDSS_z            7513.167578058143     All      0.06578938324178069       0.004399754343253903       0.10085208985617378       -0.015496056217664811      
Check         All|All|All               All                   All      0.9870602437179414        1.0006393636698974         -0.07440013394623968      0.0011030298375638847      
Lambda        AB|SDSS|SDSS_i            6319.339234367        All      2.852206436934172e-05     -3.0283804796860855e-05    0.0010069299239704817     2.5779651601874076e-05     
Lambda        AB|SDSS|SDSS_g            3987.9626394328343    All      -0.0006685290461923331    0.0004502044676577637      -0.001229265962049651     0.0003095518166284347      
Lambda        AB|SDSS|SDSS_u            3032.7919468792343    All      -8.252777294079277e-05    2.2413214111682672e-05     0.00010866786375472108    3.903207960484438e-05      
Lambda        AB|SDSS|SDSS_r            5211.074994818828     All      4.6514177444958936e-05    6.732354529480766e-05      -0.0008765525458528419    -3.2338218544622355e-05    
Lambda        AB|SDSS|SDSS_z            7513.167578058143     All      -1.030660618577765e-05    -1.0866317490817577e-06    -2.9735486835317e-06      2.8705531814501785e-06     
MWEBV         All|All|All               All                   All      -0.7442870306765053       -3.2519934247568827        0.09662292622012458       -0.8125306362176614        
Redshift      All|All|All               All                   All      3.9870166242414458        -0.49150030661273547       -1.992764833903271        -1.5477282453090977        
