#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6319.339234367        All      1.2074303855505166         0.0980035474345442        2.2683108535597443         -0.26015252481377443      
Zeropoint     AB|SDSS|SDSS_g            3987.9626394328343    All      -0.6789432999273883        0.5688724883135876        0.6847765126994445         0.43701308484716606       
Zeropoint     AB|SDSS|SDSS_u            3032.7919468792343    All      -0.09154188485246449       0.03192231830375647       0.15857174483861514        0.047292681498081836      
Zeropoint     AB|SDSS|SDSS_r            5211.074994818828     All      0.49123829966453253        0.29638620752763245       -3.139714255977412         -0.20358076391068583      
Zeropoint     AB|SDSS|SDSS_z            7513.167578058143     All      0.07071549412771175        0.0045144900351345996     0.12540716925520107        -0.01596749899173114      
Check         All|All|All               All                   All      0.9988989945629082         0.9996990516146553        0.09735202437559304        0.004604978629056483      
Lambda        AB|SDSS|SDSS_i            6319.339234367        All      -0.00025676773332810243    -3.698577136880528e-05    -0.0004442468527058381     5.1765518937653865e-05    
Lambda        AB|SDSS|SDSS_g            3987.9626394328343    All      -0.0005375817867065524     0.00034605036166502305    -0.001263749345431461      0.00023143273226301802    
Lambda        AB|SDSS|SDSS_u            3032.7919468792343    All      -8.587223224288293e-05     3.233110666718247e-05     0.0002422188330426659      4.931183030518262e-05     
Lambda        AB|SDSS|SDSS_r            5211.074994818828     All      6.87531823553026e-05       5.358166980825872e-05     -0.0006849945217560056     -3.551002020443539e-05    
Lambda        AB|SDSS|SDSS_z            7513.167578058143     All      -1.2006932054137605e-05    -5.662038744384636e-07    -2.5112460203959477e-05    2.605967795360486e-06     
MWEBV         All|All|All               All                   All      -0.7688983241893879        -3.227724765454809        0.3327385262077117         -0.7860720726954283       
Redshift      All|All|All               All                   All      4.274310963448562          -0.25941823461703706      0.010487618578269896       -1.4763167408209692       
