#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6377.329795346794     All      0.14857493002149266        0.024088659976939653       -0.011540013486709935     -0.04106425143069456      
Zeropoint     AB|SDSS|SDSS_r            4423.266682790284     All      0.7828489552158757         0.5601958453544498         -0.031735967558991246     -0.07394167342573542      
Zeropoint     AB|SDSS|SDSS_i            5363.983961162857     All      1.0543275831455672         0.2599832742005148         0.23269965406690443       -0.2483597577647839       
Zeropoint     AB|SDSS|SDSS_g            3385.0639825284143    All      -0.9908403637940935        0.15391640965685127        -0.19518826019887608      0.3641745869067423        
Check         All|All|All               All                   All      0.994911104588842          0.9981841891887555         -0.005764587177672836     0.0008089042855284334     
Lambda        AB|SDSS|SDSS_z            6377.329795346794     All      -3.9564687456260635e-05    -6.693559039563811e-06     -4.222996861846132e-06    1.0518754998900296e-05    
Lambda        AB|SDSS|SDSS_r            4423.266682790284     All      -0.0002467169066373943     -0.00013201683439243342    -0.0015304442102774972    -3.093510897819422e-05    
Lambda        AB|SDSS|SDSS_i            5363.983961162857     All      0.00023294131099833453     6.0285258732423435e-05     0.00012332983092041842    -5.073611251785465e-05    
Lambda        AB|SDSS|SDSS_g            3385.0639825284143    All      -0.0017838856817849916     0.0001478961093725418      -0.0020318163041188105    0.0005385742532551324     
MWEBV         All|All|All               All                   All      -0.696575000776477         -2.5640710603363814        0.12945290729068568       -0.6025280166974203       
Redshift      All|All|All               All                   All      3.238394744318273          0.8591579200228239         -2.9665414204694796       -0.9073788270031817       
