#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6377.329795346794     All      0.10458013992566567        0.020183489507275          0.024997760933026525      -0.02637523034871858      
Zeropoint     AB|SDSS|SDSS_r            4423.266682790284     All      0.8665479087081103         0.5745477203159766         -0.07508379524773234      -0.09846471281468178      
Zeropoint     AB|SDSS|SDSS_i            5363.983961162857     All      1.0825029356744125         0.30410124645605663        1.0057790543397171        -0.20866773901427188      
Zeropoint     AB|SDSS|SDSS_g            3385.0639825284143    All      -1.0560446209110064        0.09915955043879876        -0.9577385997891263       0.3335485287227019        
Check         All|All|All               All                   All      0.9975863633971822         0.997992006718107          -0.002045579764115013     4.084654502967133e-05     
Lambda        AB|SDSS|SDSS_z            6377.329795346794     All      -2.2628533440127476e-05    -1.946812637227531e-07     0.00013010114179526531    1.3113260131060611e-05    
Lambda        AB|SDSS|SDSS_r            4423.266682790284     All      -0.0003796813901813548     -0.00018363109213861734    -0.0016155107566096735    -8.232793359214275e-06    
Lambda        AB|SDSS|SDSS_i            5363.983961162857     All      0.00021417819301191177     6.459901145215682e-05      0.0003535631563732883     -3.294496063081905e-05    
Lambda        AB|SDSS|SDSS_g            3385.0639825284143    All      -0.001752625229786774      1.078597716532909e-06      -0.003772468396991541     0.00040289109352295306    
MWEBV         All|All|All               All                   All      -0.7097786977962584        -2.5494672782844674        0.33431509801250536       -0.5843281472509759       
Redshift      All|All|All               All                   All      2.948786486559797          0.9648457585054615         -5.678246391071368        -0.8996288220296785       
