#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_g          4062.335167457579    All      -0.7428207854197455        0.7405405026094769         0.5185397969514727         0.5063196222187538        
Zeropoint     AB|DECam|DECam_z          7686.51975696761     All      0.4482546019671578         -0.021346361893037624      0.34855815723344175        -0.13740993365446708      
Zeropoint     AB|DECam|DECam_i          6559.287082155999    All      0.8995188717893656         -0.016016646610950147      0.07059618613656227        -0.29506965501615856      
Zeropoint     AB|DECam|DECam_r          5399.145224976814    All      0.3916266769901712         0.2956586626112312         -0.9359034729130133        -0.07302501308404652      
Check         All|All|All               All                  All      0.9965793653269491         0.9988361567167203         0.0017906674084633423      0.0008150204640816616     
Lambda        AB|DECam|DECam_g          4062.335167457579    All      -0.0008841034344868827     0.0007359185414682593      -0.00021218455514539008    0.0005182256325407895     
Lambda        AB|DECam|DECam_z          7686.51975696761     All      -0.00016036464626203024    3.0887170391838485e-07     -0.00020757160465218212    4.30736834295113e-05      
Lambda        AB|DECam|DECam_i          6559.287082155999    All      -0.00022388281637094205    -2.5370904336707847e-05    -0.000450481148926687      4.4558955905953774e-05    
Lambda        AB|DECam|DECam_r          5399.145224976814    All      0.00011341103955874176     0.00010497344101894224     -0.0012408384053664758     -5.812132250000219e-05    
MWEBV         All|All|All               All                  All      -0.4876977746392175        -3.2866773700783725        0.08049227267141745        -0.908127737486375        
Redshift      All|All|All               All                  All      6.889837412721775          -2.1166863115915646        1.8583268173797352         -2.8507924919649237       
