#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -2.55140984451407        0.9478717486937072        -0.15830314810616475       1.1327667954127794        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      3.547389176081468        0.0541490028393099        0.1565346891570507         -1.130877824373825        
Check         All|All|All                            All                  All      0.9959793315673983       1.002020751533017         -0.001768458949114038      0.0018889710389544678     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4382.103688431276    All      -0.000559435806052412    -1.408051406992636e-05    -0.001985519374246751      8.903554974289277e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5247.573499718428    All      0.0011971169197648325    -3.694538907663497e-07    -0.00016522543112714895    -0.0003974339601693871    
MWEBV         All|All|All                            All                  All      -0.090894176722498       -2.355675188213624        -0.009042845845164127      -0.7381172252025778       
Redshift      All|All|All                            All                  All      0.7462467013757308       -0.37524865541644914      -3.4866286512796774        -0.5209001570089563       
