#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3058.8600474435193    All      -0.017906956837574373     0.020383178655336565       0.2352103155502716        0.022968712939185065       
Zeropoint     AB|SDSS|SDSS_g            4022.240826974951     All      -1.1378187545956824       0.6046182565357938         -0.9006709273293501       0.5273762521457184         
Zeropoint     AB|SDSS|SDSS_i            6373.656567552622     All      1.1466849416434468        -0.057375930506431416      0.02536857811518134       -0.39107015535768674       
Zeropoint     AB|SDSS|SDSS_z            7577.746359396137     All      0.0816750839661987        -0.00877493512589922       0.12619764396579747       -0.023830925690157545      
Zeropoint     AB|SDSS|SDSS_r            5255.866338700082     All      0.9240165511135481        0.4408352060298881         0.5164927116124596        -0.13433936273379576       
Check         All|All|All               All                   All      0.9966508652899364        0.9996857755886879         0.0025983219143599356     0.0011045213032634393      
Lambda        AB|SDSS|SDSS_u            3058.8600474435193    All      -3.14998359707164e-05     1.2321110490426945e-05     2.4267903367182975e-05    1.5356888997539876e-05     
Lambda        AB|SDSS|SDSS_g            4022.240826974951     All      -0.0010489626727569136    0.0005081111176536714      -0.0006350681993799283    0.0004788499827672752      
Lambda        AB|SDSS|SDSS_i            6373.656567552622     All      -0.0004973288643039705    2.618319871779723e-05      -0.0012012538858660639    0.0001169186581948264      
Lambda        AB|SDSS|SDSS_z            7577.746359396137     All      -6.929903685065405e-06    -4.2798547841324627e-07    -4.798536245917987e-05    -2.347767109299164e-08     
Lambda        AB|SDSS|SDSS_r            5255.866338700082     All      0.00028399379458569034    0.000146867644939403       -0.0013686194650193713    -0.00010574169913809161    
MWEBV         All|All|All               All                   All      -0.614893284911521        -3.332333704330992         -0.10349504052173941      -0.8897782540621985        
Redshift      All|All|All               All                   All      8.314021238006344         -1.7688908349647647        7.433934374463391         -2.9525938318142098        
