#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3058.8600474435193    All      -0.041883742094215776      0.025043896360443796      0.15726108540805478        0.02881837366630719       
Zeropoint     AB|SDSS|SDSS_g            4022.240826974951     All      -0.9941637518802724        0.5598777636404151        -0.7708926140890655        0.4718010512672592        
Zeropoint     AB|SDSS|SDSS_i            6373.656567552622     All      0.9940443172292195         -0.01849057560292522      -0.16064761577191403       -0.33698489126804465      
Zeropoint     AB|SDSS|SDSS_z            7577.746359396137     All      0.08971916284554247        -0.009476243530492923     0.1490422588501705         -0.025660135802463204     
Zeropoint     AB|SDSS|SDSS_r            5255.866338700082     All      0.9473215187032547         0.4429082794331407        0.6384591829871573         -0.1358124857331835       
Check         All|All|All               All                   All      0.9950375048035284         0.9998631203005814        0.013222297384403059       0.0021619121298750155     
Lambda        AB|SDSS|SDSS_u            3058.8600474435193    All      -3.601384369884375e-05     2.373407479475095e-05     0.00019166882008079161     2.8015161838652497e-05    
Lambda        AB|SDSS|SDSS_g            4022.240826974951     All      -0.0009159893621558539     0.0003840304372974834     -0.0013117563279637415     0.000364921557824855      
Lambda        AB|SDSS|SDSS_i            6373.656567552622     All      -0.00045471515362235536    1.3636712401612693e-05    -0.0009463202282789801     0.00011032768558623706    
Lambda        AB|SDSS|SDSS_z            7577.746359396137     All      -5.747021432869571e-06     5.801418744334804e-07     -2.4862811995218863e-05    9.514521380970901e-07     
Lambda        AB|SDSS|SDSS_r            5255.866338700082     All      0.00015268222265090757     0.00014357136565896033    -0.0018350192180750767     -8.485618562483153e-05    
MWEBV         All|All|All               All                   All      -0.6606800739170127        -3.2860599329350038       0.3726084772197318         -0.8385447875045238       
Redshift      All|All|All               All                   All      8.339097434556518          -1.1792096857654144       10.646123113482561         -2.625338193411994        
