#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4377.295256047175    All      -0.14343862335888335       0.0794076681783551         -0.11721103795802174       0.06735777828566433        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4351.594509009858    All      -0.9967510554310767        0.7137222565879675         -0.02484374779519734       0.5560487682642027         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8144.211437858348    All      0.04117399748965281        -0.006247582228180448      0.027925516519966238       -0.014200581092702893      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6306.220568071439    All      0.21591664164896515        -0.01339520004970396       0.1168478237459517         -0.06948002926562663       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6363.499938765753    All      1.0154781312232495         -0.13335733733068622       -0.12037013507880402       -0.37958507396082475       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5363.653274570297    All      0.4841789119802423         0.3740708098162848         0.04341506328206354        -0.03392841644765953       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5330.554403816047    All      0.066069166196599          0.05281803267980223        0.036280270025751835       -0.0026973083137683306     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7868.388051762205    All      0.31507607616628336        -0.06948873146139789       0.03856693175316462        -0.12354434461807742       
Check         All|All|All                       All                  All      0.9977032459150323         0.9975299161924411         0.0006106844948748288      -2.920714879262043e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4377.295256047175    All      -0.00010119051454897249    5.642501939180605e-05      -8.26146278799716e-05      4.7653853394535e-05        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4351.594509009858    All      -0.0004548609933686552     0.00019381719413238087     -0.0006456665028155152     0.00018248269596589917     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8144.211437858348    All      2.228399109068668e-06      -3.4066961156268273e-07    1.485725154531008e-06      -7.705291122021507e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6306.220568071439    All      -4.332947608744175e-05     2.7997359654532964e-06     -2.3707734121268545e-05    1.3967834683479239e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6363.499938765753    All      -0.00024567751477396404    -2.639849045622966e-05     -0.0004896221666993909     4.9576803739386916e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5363.653274570297    All      0.00012093078767155261     -3.79169127600467e-07      -0.0008401314164444156     -7.700585044040327e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5330.554403816047    All      2.7274346539221096e-05     2.0836404351412997e-05     1.5337256345637465e-05     -1.4126182633406401e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7868.388051762205    All      1.0522877240959248e-06     8.816653888241327e-06      7.761719369194256e-05      5.99280837131646e-06       
MWEBV         All|All|All                       All                  All      -0.8480414190652681        -4.0627883606489945        0.009743419660417809       -1.0467140368372148        
Redshift      All|All|All                       All                  All      3.550860688502649          -0.17691491704123763       -1.785456217252339         -1.2939358655724615        
