#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4377.295256047175    All      -0.1525893593324057        0.08378374717867842        -0.1217099900741564       0.0715631393716367         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4351.594509009858    All      -1.00995251548169          0.7080954892019875         -0.07412388282007076      0.5563169487743739         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8144.211437858348    All      0.040174299388376605       -0.006171905563689961      0.026760852254591183      -0.01390226976976794       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6306.220568071439    All      0.2125722588055848         -0.013047192435866606      0.11588983153252436       -0.06832004701025915       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6363.499938765753    All      1.0335744771769042         -0.12602089090769653       -0.06571044917687285      -0.38065071648919624       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5363.653274570297    All      0.49078946712831995        0.3707876386201292         0.06690709393463168       -0.03610278717887498       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5330.554403816047    All      0.06365466829619285        0.05237045485708691        0.03848655627374242       -0.0019581613125743387     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7868.388051762205    All      0.32250901576332075        -0.07336163320807998       0.01577392623111351       -0.12824417624682025       
Check         All|All|All                       All                  All      1.0007323117446036         0.996435707742549          0.0022739381555031413     -0.0012980698614823427     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4377.295256047175    All      -0.00011116025452049223    5.8253785620718504e-05     -8.942332438065893e-05    5.119317416972654e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4351.594509009858    All      -0.0004747721202302079     0.00019293720336917487     -0.0006877818530472933    0.00018680234844687413     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8144.211437858348    All      2.322715315911537e-06      -4.44307868573297e-07      1.1701893539939204e-06    -8.490903071621065e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6306.220568071439    All      -4.015166858691295e-05     1.972237579379048e-06      -2.065814220854295e-05    1.279926406635883e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6363.499938765753    All      -0.00024071829840038045    -2.619917337230421e-05     -0.0004950046680696904    4.778615162948816e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5363.653274570297    All      0.00011778599622111637     -2.7772757892496297e-06    -0.0008838027478880623    -7.87114815866549e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5330.554403816047    All      2.438509277737479e-05      2.1394945429647834e-05     1.4149901191982544e-05    -3.4254426202780015e-07    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7868.388051762205    All      1.3887157941232173e-06     6.12428143273041e-06       5.695029864059296e-05     4.083959789045091e-06      
MWEBV         All|All|All                       All                  All      -0.8474968269856911        -4.0618254128873765        0.018306030923678773      -1.0461956546140527        
Redshift      All|All|All                       All                  All      3.5970123656357478         -0.16911558493024614       -1.576807720995646        -1.297117462000781         
