#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7374.432551343787    All      0.6727466176264927         -0.16569331848605984      0.021086566983608          -0.27216647440905484       
Zeropoint     AB|PS|PS_r                6088.450813172351    All      1.1451286544652652         0.0018873681088216188     -0.11573732735179476       -0.3775561238448338        
Zeropoint     AB|PS|PS_z                8475.022413368886    All      0.3237080533312296         -0.08608108794554425      0.25417681129225045        -0.12213906128004416       
Zeropoint     AB|PS|PS_g                4794.312031055091    All      -1.082790086498069         1.1866014940000724        -0.023599769997995068      0.7381623491884093         
Check         All|All|All               All                  All      1.0587932389249182         0.93671445567729          0.13592628092606862        -0.033699310345523426      
Lambda        AB|PS|PS_i                7374.432551343787    All      -5.047857437597648e-05     -4.260128516110643e-05    -0.0016715003704915088     -7.202549235910968e-05     
Lambda        AB|PS|PS_r                6088.450813172351    All      -0.00012052176022562549    -7.868718296305846e-06    -0.00013678536502268062    3.059069932287049e-05      
Lambda        AB|PS|PS_z                8475.022413368886    All      0.0003635639523979784      -9.625317000216416e-05    0.00033006016611364353     -0.00013504849499758093    
Lambda        AB|PS|PS_g                4794.312031055091    All      -0.00015378226890042334    -0.0001572684375404923    -0.0008037892323767304     -3.7004981588169714e-05    
MWEBV         All|All|All               All                  All      -0.6789702919410865        -4.081903874922244        0.04833364425766984        -1.1062905126116798        
Redshift      All|All|All               All                  All      4.16546427605788           1.7016887237859102        5.100885926945797          -0.5749036417851451        
