#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7374.432551343787    All      0.553099916894058          -0.13585342204089912      -0.28470273685507125      -0.23711974393618956      
Zeropoint     AB|PS|PS_r                6088.450813172351    All      1.1861114820070067         -0.002578589478297033     0.17636407916028907       -0.37932514418252256      
Zeropoint     AB|PS|PS_z                8475.022413368886    All      0.36754919455901613        -0.08731499430432166      0.25705534844524663       -0.1366930313115111       
Zeropoint     AB|PS|PS_g                4794.312031055091    All      -1.107880897441504         1.2250116336491423        -0.14694579617928724      0.7533423312749459        
Check         All|All|All               All                  All      0.9988796960185773         0.9992646278256245        0.0017708945711772117     0.00020441184472264062    
Lambda        AB|PS|PS_i                7374.432551343787    All      -0.0001807148073018806     -2.52051827822729e-05     -0.0024265762730988406    -5.763235338597182e-05    
Lambda        AB|PS|PS_r                6088.450813172351    All      -0.00021223419656223543    7.0472389252853354e-06    -0.0003462386971260417    5.5976134847313695e-05    
Lambda        AB|PS|PS_z                8475.022413368886    All      0.0003814772880839434      -8.26424862021258e-05     0.00018728852744927452    -0.0001428212527770419    
Lambda        AB|PS|PS_g                4794.312031055091    All      -0.0002083270070209671     -9.904068755041042e-05    -0.0008106329074059175    -5.766738905713431e-07    
MWEBV         All|All|All               All                  All      -0.6961436905555098        -4.067886686458522        -0.02570704951460479      -1.0994348083669423       
Redshift      All|All|All               All                  All      4.28323575164133           1.2609144617766077        5.338536938046634         -0.7462350909942456       
