#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7384.261519255917    All      0.5071067100587671         -0.09565626898941915       0.47275358089246455       -0.17524291155241647       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5400.525663128708    All      0.45934825963041276        0.4244637730129064         -0.44347980283835386      -0.03115349172845631       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.78541399971     All      -1.0934356089302262        0.7690516747496545         0.11223576307116251       0.6116819489318014         
Zeropoint     AB|CNIa02|SDSS_r                      6089.234828370767    All      1.124834387232623          -0.09970089884232536       -0.14002181017454554      -0.40511995898008507       
Check         All|All|All                           All                  All      0.9978537479915764         0.9981582799308164         0.001487730950727656      0.00016558667084354273     
Lambda        AB|CNIa02|SDSS_i                      7384.261519255917    All      -0.00011001119969126624    1.7552986357161797e-06     -0.0004621486069593902    1.5782455756855364e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5400.525663128708    All      -7.101274341513532e-05     -2.2654738043872545e-05    -0.0012449784200170499    -3.9805875625756706e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.78541399971     All      -0.00031572219974540614    5.746517031459401e-05      -0.0010405608524483002    7.512395220670458e-05      
Lambda        AB|CNIa02|SDSS_r                      6089.234828370767    All      -0.00014206396530605213    -2.2247446078169695e-05    -0.0005077987632094469    1.636745559224372e-05      
MWEBV         All|All|All                           All                  All      -0.8817129937913575        -4.029379379818465         0.07820416085017885       -1.0218086045572097        
Redshift      All|All|All                           All                  All      5.454028826878185          -0.6395694679754982        6.606945087188789         -1.690047823423068         
