#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7384.261519255917    All      0.6095359509629665         -0.1112069572379859        0.7264260586756333         -0.20235261829393836       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5400.525663128708    All      0.3275878523787115         0.45290702568587804        -0.6728155293499682        0.010795910679550769       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.78541399971     All      -0.9636765413485597        0.7556790319259932         -0.04255888249571349       0.5581514678738242         
Zeropoint     AB|CNIa02|SDSS_r                      6089.234828370767    All      0.9189268220474344         -0.04072543010291696       0.001573955445888231       -0.31252007174406016       
Check         All|All|All                           All                  All      0.8923740840405527         1.0566536702709683         0.012625602275839753       0.054074688515376446       
Lambda        AB|CNIa02|SDSS_i                      7384.261519255917    All      3.483665354263857e-05      -1.6923737698179788e-05    -0.00018238489329201442    -2.4999062417532357e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5400.525663128708    All      -0.00014967556205049536    0.00015016963576576405     -0.00140946634594006       3.477143596823165e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.78541399971     All      -0.000504070220744992      0.00036304328065643094     -0.00021967461820616445    0.0002726443253117845      
Lambda        AB|CNIa02|SDSS_r                      6089.234828370767    All      0.0004602824791030663      -6.0679702638555635e-05    6.898830028467379e-05      -0.00016661589075003965    
MWEBV         All|All|All                           All                  All      -0.860845936474147         -4.027885219461069         0.1654880207681675         -1.0242239166585287        
Redshift      All|All|All                           All                  All      3.3104951312922255         -2.307450762992147         5.74711396169465           -1.5734825021277543        
