#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4361.66060471999     All      1.3476770866481131        0.6519358765173067        -0.6182256135583986       -0.2542143710711098        
Zeropoint     AB|MEGACAMPSF|z           5027.115502118057    All      1.3346326603777114        0.21525190869660094       0.14087944716494327       -0.3583323346643366        
Zeropoint     AB|MEGACAMPSF|r           3564.112025217504    All      -1.6841697828542337       0.1312441891245797        0.4701624155145967        0.6123212452457046         
Check         All|All|All               All                  All      0.9981399641715907        0.9984319743384873        -0.007183750878858586     -0.0002254604897417023     
Lambda        AB|MEGACAMPSF|i           4361.66060471999     All      -0.0002835813220985249    -0.0001090998050453716    -0.002895941296266787     -7.23981890994777e-05      
Lambda        AB|MEGACAMPSF|z           5027.115502118057    All      0.00038951070059220646    5.9481780988466106e-05    -9.708850149518598e-05    -0.00011183389065426086    
Lambda        AB|MEGACAMPSF|r           3564.112025217504    All      -0.002895003712454236     0.00011373652346204783    -0.0017063916558786036    0.0009038972570230994      
MWEBV         All|All|All               All                  All      -0.2375412685320617       -1.83506747168245         -0.002403020636110309     -0.5204740771913796        
Redshift      All|All|All               All                  All      9.283200290001883         0.7222638319243302        1.5634682539104272        -2.718808243417532         
