#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4361.66060471999     All      1.4013679178246425        0.666608513861533          -0.2302254391206869       -0.24960921469792954      
Zeropoint     AB|MEGACAMPSF|z           5027.115502118057    All      1.3159955303852628        0.2270551051035241         0.3112133181838558        -0.34081570055066795      
Zeropoint     AB|MEGACAMPSF|r           3564.112025217504    All      -1.7182266752813493       0.10513207283722181        -0.07957833802518428      0.5903767152472706        
Check         All|All|All               All                  All      0.9991367729285563        0.9987956918022789         0.001409541037984588      -4.820000132688129e-05    
Lambda        AB|MEGACAMPSF|i           4361.66060471999     All      -0.000451129474352226     -0.00017257040119769403    -0.0024821302310356957    -2.003021775158251e-05    
Lambda        AB|MEGACAMPSF|z           5027.115502118057    All      0.0002695853338568261     4.360312297938596e-05      -3.920635968253549e-05    -7.535944044102525e-05    
Lambda        AB|MEGACAMPSF|r           3564.112025217504    All      -0.0023848829441205166    7.375287761484742e-05      -0.001538934858899168     0.0007321829791746509     
MWEBV         All|All|All               All                  All      -0.24858429776679758      -1.8336656085146785        0.025807780660340982      -0.5151614478167473       
Redshift      All|All|All               All                  All      8.560692262111814         1.088994040956237          0.5745138586623719        -2.408140007335125        
