#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7130.127917187508    All      0.605544227070735          -0.042585063979849735     0.47995543325387846        -0.18969882628495224       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4457.365076749986    All      -0.6712689177922669        0.6038122329364626        0.5760943487152731         0.44104432459372056        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4139.839697826647    All      -0.5477014026148147        0.2725801304997333        -0.27048390428596525       0.2551222274356257         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5875.785974402458    All      1.1900860616708735         -0.0051828862709157875    -0.30372539137913157       -0.40289228878199684       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5187.983051538758    All      0.42163758227049314        0.16887916930556912       -0.4793866499691933        -0.10372455505234643       
Check         All|All|All                      All                  All      0.99829755060502           0.9975035824909995        0.002453836334861348       -0.00014911808994935716    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7130.127917187508    All      -0.00032864884851192686    1.3953864907778994e-05    -0.0004786997125049246     9.023480547444012e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4457.365076749986    All      -0.00014956465619375887    2.7891964765574258e-05    -0.0007505561902007702     2.430958400710997e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4139.839697826647    All      -0.00028441491121064934    0.00010971150473685165    -0.00047180007107654605    0.00010732566977524891     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5875.785974402458    All      -5.3752530089209096e-05    -3.282943482755671e-06    -0.00013559913257519824    1.0388438255261e-05        
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5187.983051538758    All      9.4279893226133e-05        3.2558323655606936e-05    -0.0007876734377193118     -5.525499366060971e-05     
MWEBV         All|All|All                      All                  All      -0.7809109859063197        -3.8299870376510725       0.024609277726361335       -0.9920861826372123        
Redshift      All|All|All                      All                  All      5.827616623990572          -0.26226277193526215      3.027849971266952          -1.848555032528424         
