#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6178.710589089892    All      1.2533732361420775         0.07415171741627091        0.3741842946315965        -0.3674131173815237       
Zeropoint     AB|SDSS|SDSS_z            7345.971841438056    All      0.07055111423254193        0.006176553641523697       0.09918600148933754       -0.0165426965429899       
Zeropoint     AB|SDSS|SDSS_g            3899.215736853338    All      -1.080360612496976         0.5457721832936357         -0.22825742545939942      0.5194988692191121        
Zeropoint     AB|SDSS|SDSS_r            5095.10932344398     All      0.7544822922981425         0.3726090446871666         -0.2445808529959681       -0.13530320015355812      
Check         All|All|All               All                  All      0.9980460301757855         0.998709499038597          0.0005320176655665421     0.0002398551410404126     
Lambda        AB|SDSS|SDSS_i            6178.710589089892    All      -0.0003618065851619816     -6.418127621888289e-05     -0.0007970867176817355    6.137603538133582e-05     
Lambda        AB|SDSS|SDSS_z            7345.971841438056    All      -1.7971104746459988e-05    -3.191964841946172e-06     -4.074382406828873e-05    2.995842347608554e-06     
Lambda        AB|SDSS|SDSS_g            3899.215736853338    All      -0.000983119217987448      0.0003577005567291281      -0.0009925057424626025    0.0003924581394134201     
Lambda        AB|SDSS|SDSS_r            5095.10932344398     All      -0.000243321160845256      -0.00011912123783947985    -0.0025377486545022773    -7.279206601336675e-05    
MWEBV         All|All|All               All                  All      -0.5679729830393296        -3.174709734862624         0.07013068678496381       -0.8459703087080633       
Redshift      All|All|All               All                  All      6.335198281093742          1.282471643166616          7.217242868999185         -1.323766894095843        
