#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6178.710589089892    All      1.2362372143672098         0.05302837120684245       0.1404133592138966         -0.3791440433055581       
Zeropoint     AB|SDSS|SDSS_z            7345.971841438056    All      0.0980611258553515         0.0038639507573989818     0.09352436335182943        -0.02650955612988661      
Zeropoint     AB|SDSS|SDSS_g            3899.215736853338    All      -1.0241979183714547        0.5677705280003664        -0.05733327195116676       0.5159979765845314        
Zeropoint     AB|SDSS|SDSS_r            5095.10932344398     All      0.6875615520607267         0.3740318171036705        -0.17542352808707765       -0.10995529586481623      
Check         All|All|All               All                  All      0.997661973911833          0.9986946670682784        0.0011809225274816149      0.00038908128427045385    
Lambda        AB|SDSS|SDSS_i            6178.710589089892    All      -0.00016919794275528614    -4.465623578454784e-05    -0.0005887802535730305     1.4292772713756716e-05    
Lambda        AB|SDSS|SDSS_z            7345.971841438056    All      -1.6065808220139546e-05    -1.57865191684972e-06     -2.7560289261518696e-05    3.489054291355623e-06     
Lambda        AB|SDSS|SDSS_g            3899.215736853338    All      -0.001123311399462723      0.0005205466516295466     -0.0006349380253727109     0.0005071242806567454     
Lambda        AB|SDSS|SDSS_r            5095.10932344398     All      -0.00019597966928840236    -8.467497893758115e-05    -0.002559210480294693      -7.795021024415368e-05    
MWEBV         All|All|All               All                  All      -0.5663641206507393        -3.1815129369054063       0.043025079053377005       -0.8499199936235682       
Redshift      All|All|All               All                  All      6.41805104273377           0.8774893415861129        7.902081309419811          -1.4521096292368543       
