#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      0.17017576103805454       0.3424078273522646        -3.268424809140136         -0.08975313763452397       
Zeropoint     AB|CNIa02|SDSS_g                      4672.239706900435    All      -0.23664469553226908      0.3434936106622821        -0.07437584659615304       0.18565107987325025        
Zeropoint     AB|CNIa02|SDSS_i                      7403.64701520433     All      0.5637049590495062        -0.09606846938119418      1.902221015331973          -0.13002252421179805       
Zeropoint     AB|CNIa02|SDSS_r                      6105.220561918597    All      1.1275711619509505        -0.1467453509377492       -1.0707209999854417        -0.4628681726015327        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.6269039102218602       0.5532738785481328        2.534270936342997          0.4975156049019491         
Check         All|All|All                           All                  All      0.9979032762843818        0.9963614962437362        0.022970295953239628       0.0005228503273446705      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      -2.208249176439032e-05    0.00011138578592332035    -0.0006001049274826484     1.6695082287487895e-05     
Lambda        AB|CNIa02|SDSS_g                      4672.239706900435    All      2.692805908727496e-05     3.487797314229311e-05     -0.00011687884765908144    -2.6262176137706854e-06    
Lambda        AB|CNIa02|SDSS_i                      7403.64701520433     All      -8.916389367454977e-05    1.4878422059955802e-05    -0.000245536856796704      2.2932822916402972e-05     
Lambda        AB|CNIa02|SDSS_r                      6105.220561918597    All      0.00028169477021671075    -3.10097231356556e-05     0.00016254372090439327     -9.460456142946727e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.0005776987795012146    0.0001660411661667694     -0.0016894714830916057     0.00016686721579297527     
MWEBV         All|All|All                           All                  All      -0.8419325062315908       -4.058174457967922        0.4323136212530887         -1.0283436435259474        
Redshift      All|All|All                           All                  All      4.157869273497183         -2.0308185245625943       5.612895043605093          -1.7653814909074528        
