#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      0.4962810593414687         0.20199454934086702       -2.1673116315320207        -0.19257596205879107      
Zeropoint     AB|CNIa02|SDSS_g                      4672.239706900435    All      -0.37879247542232064       0.6060001501140277        0.8019870172491839         0.35656835403892073       
Zeropoint     AB|CNIa02|SDSS_i                      7403.64701520433     All      0.5324631359599294         -0.06885598505252943      1.6801843941519852         -0.12089050782203155      
Zeropoint     AB|CNIa02|SDSS_r                      6105.220561918597    All      1.1422303935133589         -0.12698401303641305      -0.7616894885659298        -0.44741559168837275      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.7883373248433031        0.38268646772703363       0.5286148947909798         0.40503062969273645       
Check         All|All|All                           All                  All      1.0038447885491333         0.9948411690929859        0.08178518609419838        0.0007169221624618305     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5414.703366354533    All      4.213871288643107e-05      1.5116137274253566e-05    -0.00023039476400603967    -1.908360204592995e-05    
Lambda        AB|CNIa02|SDSS_g                      4672.239706900435    All      8.528737197018447e-05      -8.413855187203033e-05    0.0004909060590198757      -3.328071457866183e-05    
Lambda        AB|CNIa02|SDSS_i                      7403.64701520433     All      -0.00018116680943452455    2.6221039944471388e-05    -0.0005793278634993611     4.170030360898485e-05     
Lambda        AB|CNIa02|SDSS_r                      6105.220561918597    All      -0.00019591121489899712    2.0409779181051403e-05    0.00014939564129652576     7.712970584289009e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.118033508789    All      -0.0003213155587742922     9.131302226455167e-06     -0.0020714168361298363     1.5199594283700263e-05    
MWEBV         All|All|All                           All                  All      -0.8765149445631026        -4.049209453806846        0.28895979684510587        -1.020556031620835        
Redshift      All|All|All                           All                  All      4.835130071129438          -0.2580225066125763       2.0214225024739356         -1.5688005520856956       
