#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3620.829625865489    All      -1.9303991033897425       0.12719998286083722        -0.25479733164954776      0.6588572807213654        
Zeropoint     AB|MEGACAMPSF|z           5099.501903420872    All      0.8547253280869767        0.1356840117935576         -0.12809999639876724      -0.23993192697070037      
Zeropoint     AB|MEGACAMPSF|i           4427.207429729902    All      2.078938235454118         0.7364525783394527         0.38400223520166366       -0.4201554888899145       
Check         All|All|All               All                  All      1.003264460151352         0.9993365729938475         0.0011049071533486554     -0.0012301351392494664    
Lambda        AB|MEGACAMPSF|r           3620.829625865489    All      -0.0034638952352990236    0.00011046622472312349     -0.0027635045302026647    0.0010409646056626651     
Lambda        AB|MEGACAMPSF|z           5099.501903420872    All      0.0002925254987442419     3.714324127542413e-05      9.809325620733539e-05     -7.880895158580223e-05    
Lambda        AB|MEGACAMPSF|i           4427.207429729902    All      -0.0007719341308686141    -0.00031692847593453425    -0.003311830366467536     4.185324846994741e-07     
MWEBV         All|All|All               All                  All      -0.23295990661535182      -1.8995440844964406        -0.010032785297275915     -0.5433090128556403       
Redshift      All|All|All               All                  All      9.978251399856266         1.3983117046560523         5.94036794323054          -2.529677292175124        
