#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3620.829625865489    All      -2.133606731877556        0.11478845322816511       -0.3853863179174738       0.715178260440074         
Zeropoint     AB|MEGACAMPSF|z           5099.501903420872    All      0.8520709927961988        0.13639964027589713       -0.1514676327392607       -0.23987700918748547      
Zeropoint     AB|MEGACAMPSF|i           4427.207429729902    All      2.284236979167043         0.7485495614918847        0.5379473186425987        -0.47621779642381834      
Check         All|All|All               All                  All      1.0027012400856856        0.9997376549959469        0.0010933679858642353     -0.0009165451712297434    
Lambda        AB|MEGACAMPSF|r           3620.829625865489    All      -0.003849903620513089     0.0001040510598525658     -0.0022250356080689877    0.001188640000671076      
Lambda        AB|MEGACAMPSF|z           5099.501903420872    All      0.00020784689507240297    3.111207508508055e-05     8.311141044357599e-06     -5.719745721962392e-05    
Lambda        AB|MEGACAMPSF|i           4427.207429729902    All      -0.0005608042946754093    -0.0002962401127527497    -0.0029660612228772265    -4.618443179528356e-05    
MWEBV         All|All|All               All                  All      -0.2422490942807467       -1.901129760358522        -0.013270012903165816     -0.5409441882232928       
Redshift      All|All|All               All                  All      10.411468651202092        1.3450236740595756        4.95771628516106          -2.731999298395913        
