#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.898484106579     All      -0.47885459361880667       0.2850152284842977         -0.3395030919867122        0.2336670679156107        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6124.1885477981       All      1.1002591410444091         -0.04035929725931808       0.007547544126057024       -0.37120013835780374      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.540988456185     All      0.6164761312401605         0.1915266732563481         -0.06208961883400571       -0.14119079340849228      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4731.100883223424     All      -0.2754736736939627        0.4705890043864791         0.22953617216347796        0.253260304126006         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3539.3147657457116    All      -0.2965864020841006        0.11669214202196798        -0.01527119426523632       0.13393693501359322       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.758249709078     All      0.3282514357071115         -0.025142924586241122      0.1814598420835936         -0.10701445013938121      
Check         All|All|All                              All                   All      0.9940720385948113         0.9983208263035337         0.001679653287174343       0.0014589251495326638     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.898484106579     All      -0.0002511328284482201     2.56077214244727e-05       -0.0010640462833179864     4.266000295053051e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6124.1885477981       All      -0.00016057518459002503    2.6410063447391353e-06     -8.680170881914933e-05     4.929132144186995e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.540988456185     All      0.00017727336772684508     2.849966957809081e-05      -0.00034592737104697694    -6.389763777921502e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4731.100883223424     All      -0.0001113047166521261     -0.00013900632859213286    -0.0016619800328920565     -8.318986203459887e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3539.3147657457116    All      -0.000421085519530334      0.00010453359485815745     -0.0004576034499264092     0.0001507906976379718     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.758249709078     All      -8.859264251011039e-05     9.836959816723176e-06      -1.8062787174514463e-05    3.125570048336322e-05     
MWEBV         All|All|All                              All                   All      -1.0648855611400356        -3.9463890072662267        0.048869826096487524       -0.9364196351631833       
Redshift      All|All|All                              All                   All      5.004394005521036          1.0488540738446517         8.524654928010364          -0.9080332920322358       
