#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.898484106579     All      -0.4595364109647584        0.29583670829520514       -0.1789491898484652       0.23806419552140842       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6124.1885477981       All      1.0844492365971825         -0.03759156184344192      0.016418848212951254      -0.36475290431122154      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.540988456185     All      0.6094290058923162         0.18078536622816443       -0.1553134285586566       -0.1465542603832859       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4731.100883223424     All      -0.2820681667853344        0.4633664875562715        0.06578582802534427       0.24574831035214273       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3539.3147657457116    All      -0.2852744402830121        0.1159521672908781        0.015197567461822103      0.13137090368604554       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.758249709078     All      0.32734089771416053        -0.02000583204448958      0.24029298228122054       -0.102419085076913        
Check         All|All|All                              All                   All      0.9943401221705541         0.9983433354825877        0.003432607574216373      0.0014571597881762877     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.898484106579     All      -0.0002152706643618931     2.3075733255366956e-05    -0.0008778334145313531    3.8463589520021064e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6124.1885477981       All      -0.00020128014971681953    5.01898231853663e-06      -6.843087815676233e-05    6.41446585432833e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.540988456185     All      0.00020112862543168283     3.3092864850331705e-05    -0.0002452798698535865    -6.568048949553502e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4731.100883223424     All      -0.00019837992271084368    -0.0001385319212731971    -0.0020874488640042644    -7.365879248564745e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3539.3147657457116    All      -0.0004917298636581652     0.00012269299268333772    -0.000571529191622411     0.00017463301533851222    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.758249709078     All      -9.934075051106991e-05     6.543527019246466e-06     -7.520797544647144e-05    3.1133806154446185e-05    
MWEBV         All|All|All                              All                   All      -1.0761797841777492        -3.9406006435775964       0.06452325302389594       -0.930156734115822        
Redshift      All|All|All                              All                   All      4.966235202224297          0.9308108792659198        8.342007342672764         -0.9422049892547912       
