#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3652.2137961166277    All      -0.3397772911584463        0.23921245394644686       0.2183469787298553        0.19833983100680241       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5385.4331794021045    All      0.7149878844030988         0.4224923215811138        0.6099117217444883        -0.06805786871107167      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8232.616307431948     All      0.17353201561411866        -0.047364261629745386     -0.20737611226455677      -0.08120742821632193      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4363.502245195671     All      -0.5637174447068988        0.3922847317865852        -0.6937098063881209       0.2804442778561275        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6363.531399653812     All      0.9955154813306943         -0.005978070192824703     0.019774612186324037      -0.3253369477700302       
Check         All|All|All                                All                   All      0.9805406454825666         1.0006471754915758        -0.053052605992010005     0.004181864165506144      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3652.2137961166277    All      -0.001093220745450544      0.0002380497892072602     -0.0024612701665412025    0.00032380342730998677    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5385.4331794021045    All      0.00010815042877249239     2.3291538687853636e-05    -0.0007610526175539545    -6.160361520831613e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8232.616307431948     All      -2.882194913112235e-05     -7.638178517820132e-06    -8.321566468054607e-05    3.1867180951359628e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4363.502245195671     All      -0.0003297956444078443     9.138364786479461e-05     -0.0009589664362835234    9.439768420253947e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6363.531399653812     All      -0.00025343878560829005    -3.185549261900061e-05    -0.0003900813909904198    5.4769427499544604e-05    
MWEBV         All|All|All                                All                   All      -1.067318800444807         -3.94312508830188         0.16180628057931856       -0.9295240480187968       
Redshift      All|All|All                                All                   All      6.68046135018557           -0.8915407236623984       5.071646756290904         -2.2401258854189297       
