#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3652.2137961166277    All      -0.4070977568959266        0.2579105934445991         0.12341773757388011       0.22212266462154637       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5385.4331794021045    All      0.6824115430874711         0.4188397688148271         0.5477052339246187        -0.061412429063508536     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8232.616307431948     All      0.20294227869694514        -0.0490749372961119        -0.15622902071720884      -0.0890620820297442       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4363.502245195671     All      -0.5556306624933754        0.364285220633187          -0.7029639429976057       0.2682768152885637        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6363.531399653812     All      1.073627891678873          0.006532461524955124       0.19129233644093413       -0.3390515895965831       
Check         All|All|All                                All                   All      0.9962532940739874         0.9984931071214564         0.003222344224618423      0.0008733792202741952     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3652.2137961166277    All      -0.0009186403258616906     0.0001851390194112233      -0.0019425457679589039    0.0002728503501832391     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5385.4331794021045    All      0.00011559061181130146     5.378497135298705e-06      -0.000643147176804715     -6.460041625350122e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8232.616307431948     All      -2.71868960845794e-05      -6.08419494559942e-06      -6.560885463757426e-05    3.94602216730694e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4363.502245195671     All      -0.0002798165935761826     5.1211123543502897e-05     -0.0009770051247464542    6.422736645909487e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6363.531399653812     All      -0.00028440987875384146    -2.8619125657015454e-05    -0.0003552147390903509    6.746786118613939e-05     
MWEBV         All|All|All                                All                   All      -1.065631280519821         -3.9550565074382593        0.11193976192700157       -0.9361854982196871       
Redshift      All|All|All                                All                   All      6.599350790244381          -0.3624331413846882        4.345417340473583         -2.073766044294524        
