#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6163.529481991391    All      1.0617705017944805         -0.005156787514692951     -1.1287133329888732       -0.3979026110516773        
Zeropoint     AB|SDSS|SDSS_z            7327.922770574571    All      0.1284793467279849         0.005252040145187209      0.19863005439759718       -0.03127524075906413       
Zeropoint     AB|SDSS|SDSS_r            5082.590627317582    All      0.8208145360742359         0.41790353888764287       0.7471526234180903        -0.09789937712648689       
Zeropoint     AB|SDSS|SDSS_g            3889.635354207506    All      -1.0135269233715123        0.581146871719973         0.18772239525794987       0.5278149065934281         
Check         All|All|All               All                  All      0.9975374612251895         0.9991456632381102        0.004791740084764129      0.0007376776561998089      
Lambda        AB|SDSS|SDSS_i            6163.529481991391    All      -0.00026815012585208276    -5.616918922389235e-06    0.0002249480462261468     9.555410073702789e-05      
Lambda        AB|SDSS|SDSS_z            7327.922770574571    All      -1.3231304893415297e-05    2.6713238731490916e-06    2.6836605513046894e-05    6.3776038181927735e-06     
Lambda        AB|SDSS|SDSS_r            5082.590627317582    All      4.589893129852786e-05      3.4883564094642204e-05    -0.000496424922236629     -2.5741231775343272e-05    
Lambda        AB|SDSS|SDSS_g            3889.635354207506    All      -0.0015034197805061035     0.0005069573995673329     -0.00291951717473682      0.0005245613443434828      
MWEBV         All|All|All               All                  All      -0.5508407515103468        -3.1688113817381236       0.1723313906938806        -0.8450688044634252        
Redshift      All|All|All               All                  All      5.738831675459002          0.12444725579161542       -2.2842783665232513       -1.9307265654335741        
