#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6163.529481991391    All      1.103405489047563          0.03340887403346926        -0.5116849893409837        -0.3713672503432601        
Zeropoint     AB|SDSS|SDSS_z            7327.922770574571    All      0.0779622452157927         0.003436271618895148       0.10019607353039842        -0.019804270854473283      
Zeropoint     AB|SDSS|SDSS_r            5082.590627317582    All      0.9650145262004266         0.4230871232154598         1.0196495328488329         -0.13102130846406407       
Zeropoint     AB|SDSS|SDSS_g            3889.635354207506    All      -1.1486532306788977        0.5386661168813589         -0.6081504313256552        0.5224764620419029         
Check         All|All|All               All                  All      0.9977290297848846         0.9985983857491831         1.0185712592369889e-05     0.00028363238010542524     
Lambda        AB|SDSS|SDSS_i            6163.529481991391    All      -0.00025396887036561354    -1.1063320830412178e-05    -6.037569241179253e-05     7.642803898201492e-05      
Lambda        AB|SDSS|SDSS_z            7327.922770574571    All      -2.1644879260257272e-05    -7.544807092029207e-07     -2.4800673172701806e-05    5.697949943450881e-06      
Lambda        AB|SDSS|SDSS_r            5082.590627317582    All      1.544318554946038e-05      -1.9472523131613794e-06    -0.00044602115259642346    -2.5568513279586904e-05    
Lambda        AB|SDSS|SDSS_g            3889.635354207506    All      -0.00140923915318206       0.00043680437163970767     -0.0027428780587344832     0.0004789150588844115      
MWEBV         All|All|All               All                  All      -0.5549415850305368        -3.163700458302543         0.17024737443933047        -0.8421612322390286        
Redshift      All|All|All               All                  All      6.122135733121869          0.6962679561137719         -0.823173617226369         -1.8041180985563876        
