#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4343.506529454084    All      -0.8682684469596006        0.6964083475171634        -0.12011149434140989      0.5043066839583032        
Zeropoint     AB|SDSS|SDSS_u            3303.178292968954    All      -0.0437092276644494        0.05936678232920656       0.2270431894178572        0.04370714232700404       
Zeropoint     AB|SDSS|SDSS_r            5675.664571594262    All      0.7022614227298218         0.49592530488471454       -1.335682728318853        -0.12681584743478508      
Zeropoint     AB|SDSS|SDSS_i            6882.735298195292    All      1.0398484452587105         -0.23728571729826342      1.1309830786904347        -0.36553403282618385      
Zeropoint     AB|SDSS|SDSS_z            8182.998534013192    All      0.16989240311870768        -0.014029333705600777     0.1292902292805364        -0.05413973140484527      
Check         All|All|All               All                  All      1.0000245964831902         1.0003853837272203        0.03152227472856545       0.001524214619493057      
Lambda        AB|SDSS|SDSS_g            4343.506529454084    All      -0.0006305891718891042     0.00044242342546897895    -0.0007728112821967154    0.00031502848589483166    
Lambda        AB|SDSS|SDSS_u            3303.178292968954    All      -5.6335360126963266e-05    6.744680359654473e-05     0.0002515333479194453     5.1544701103736814e-05    
Lambda        AB|SDSS|SDSS_r            5675.664571594262    All      -0.0002835349499945683     1.743116972741334e-05     -0.0014097169511909113    3.512537374880351e-05     
Lambda        AB|SDSS|SDSS_i            6882.735298195292    All      -0.0007903121965244606     0.00013616384417158077    -0.0015894927730615805    0.0002308519644256042     
Lambda        AB|SDSS|SDSS_z            8182.998534013192    All      2.647224764288683e-05      9.878423814283314e-06     6.535791833275514e-05     -2.488530624435199e-06    
MWEBV         All|All|All               All                  All      -0.702591815978483         -3.661907840550427        0.32156910234542524       -0.9495964356842413       
Redshift      All|All|All               All                  All      7.190443488743244          -2.034481478436412        10.112190393994604        -2.553600939153875        
