#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8495.487077911874    All      0.3045481059111859         -0.07916699288896822       0.18172041346213863        -0.11687928408985054       
Zeropoint     AB|PS|PS_g                4805.888872111603    All      -1.104990266441416         1.2474151174403758         -0.09040386443913695       0.7622215161086743         
Zeropoint     AB|PS|PS_r                6103.152615409653    All      1.1339822296038826         -0.059192704155730524      -0.40228554273279427       -0.40660848635635377       
Zeropoint     AB|PS|PS_i                7392.239617920988    All      0.6657426152474165         -0.11003974790826376       0.3104950324009481         -0.2388418709175083        
Check         All|All|All               All                  All      0.999282684321069          0.9990156724874133         -0.00047396130884447274    -0.00010812525503828274    
Lambda        AB|PS|PS_z                8495.487077911874    All      0.0003623319954644693      -9.256138382266623e-05     0.0001598928653063663      -0.0001410384549642226     
Lambda        AB|PS|PS_g                4805.888872111603    All      -0.00016040939920223908    -0.00010568896471394272    -0.0009415792893726887     -2.419411340578566e-05     
Lambda        AB|PS|PS_r                6103.152615409653    All      -0.0003922948268226486     -2.0341459112973798e-05    -0.0011407819539504232     7.02495895825625e-05       
Lambda        AB|PS|PS_i                7392.239617920988    All      -0.00023890104823497512    -4.763203972494716e-06     -0.0007517298371825428     4.2720148719372e-05        
MWEBV         All|All|All               All                  All      -0.6967227642807234        -4.071374247883153         0.10933832774988606        -1.094355743550715         
Redshift      All|All|All               All                  All      5.269806052947237          1.5563548932908233         7.371172773940371          -0.880651625285532         
