#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8495.487077911874    All      0.35851923193306184        -0.08757693697249991       0.24460279429368265        -0.13439269905124665       
Zeropoint     AB|PS|PS_g                4805.888872111603    All      -1.0798091460055537        1.2603000748636184         0.12397077459813084        0.7677828068368456         
Zeropoint     AB|PS|PS_r                6103.152615409653    All      1.0957638220150523         -0.06336444003549602       -0.5800640524207084        -0.40345180365869227       
Zeropoint     AB|PS|PS_i                7392.239617920988    All      0.6240380103019774         -0.11007521873462878       0.21181953414055413        -0.22967229734832256       
Check         All|All|All               All                  All      0.9985119182445376         0.9992834791209937         0.0003290506116592484      0.0002660067785841824      
Lambda        AB|PS|PS_z                8495.487077911874    All      0.000431410061763144       -0.00010316120561363541    0.0002647912794297349      -0.00016231102999834064    
Lambda        AB|PS|PS_g                4805.888872111603    All      -0.00023320430519482605    5.986504602810657e-06      -0.0007195279137351837     4.580308977717151e-05      
Lambda        AB|PS|PS_r                6103.152615409653    All      -0.00021801602640469616    -1.740074855635691e-05     -0.0007113942290219143     3.3600738916070675e-05     
Lambda        AB|PS|PS_i                7392.239617920988    All      -0.00014819786782090767    -9.370620529340085e-06     -0.00039878779473481035    2.7424534010716144e-05     
MWEBV         All|All|All               All                  All      -0.6874697142949207        -4.075434007990353         0.11382614495878156        -1.0984918931062146        
Redshift      All|All|All               All                  All      4.619503879260064          1.2600684670120543         4.740829258504249          -0.8827171999455791        
