#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5525.007528262087    All      0.7343299509427783         0.2673861917244835         -1.2357244714877647        -0.2072436520560647       
Zeropoint     AB|SDSS|SDSS_g            4228.210806254265    All      -0.6311299727068244        0.585013476410623          -0.40993977631038625       0.3778442018771741        
Zeropoint     AB|SDSS|SDSS_u            3215.497446269809    All      -0.14280521114482997       0.09945398264381566        0.38770502898064496        0.09621328428631726       
Zeropoint     AB|SDSS|SDSS_z            7965.785844789794    All      0.1582002905052357         0.0028494222526376234      0.2356211591885815         -0.04008819851588352      
Zeropoint     AB|SDSS|SDSS_i            6700.03730098563     All      0.8933131817054171         0.05516883806677697        1.170629393549838          -0.22077137352518317      
Check         All|All|All               All                  All      1.0119082393017766         1.0098719110983367         0.14829133392091354        0.005954262066359961      
Lambda        AB|SDSS|SDSS_r            5525.007528262087    All      5.044432624061743e-05      3.176917059051256e-05      0.0002735110953261297      6.122431403770329e-06     
Lambda        AB|SDSS|SDSS_g            4228.210806254265    All      -0.00017433289614938395    0.0001005226301782534      -0.0008241446421478278     5.2751697183513e-05       
Lambda        AB|SDSS|SDSS_u            3215.497446269809    All      -5.2678352269820674e-05    2.801806390606275e-05      3.4823417461240166e-05     2.7839486764844732e-05    
Lambda        AB|SDSS|SDSS_z            7965.785844789794    All      -5.897214799328554e-06     -6.121027847047627e-07     -5.34332839434548e-05      -6.629471940161297e-07    
Lambda        AB|SDSS|SDSS_i            6700.03730098563     All      -0.00043665939605929804    -2.7546058601236423e-05    -0.00043604267773998044    0.00011380309140315449    
MWEBV         All|All|All               All                  All      -0.8426398521474696        -3.454153009631611         0.3673292906346326         -0.834263532464885        
Redshift      All|All|All               All                  All      2.2949035374324804         0.5674538627225445         -5.686047198452182         -0.8164293618559887       
