#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5525.007528262087    All      0.6870189785925374        0.27340403049898043        -1.313395539765627         -0.19333880685389182       
Zeropoint     AB|SDSS|SDSS_g            4228.210806254265    All      -0.6371936052793777       0.6007540088720731         -0.3094240563402116        0.3894320906947368         
Zeropoint     AB|SDSS|SDSS_u            3215.497446269809    All      -0.12822015423697472      0.09037225800572202        0.32605699484384565        0.08575316629847024        
Zeropoint     AB|SDSS|SDSS_z            7965.785844789794    All      0.13629682551676922       -0.0032853222695194972     0.14661563475876052        -0.038923715252227535      
Zeropoint     AB|SDSS|SDSS_i            6700.03730098563     All      0.9353594572627817        0.039595557982963214       1.1674700719224078         -0.2396809444385826        
Check         All|All|All               All                  All      0.9932615018557358        1.0008405330902193         0.01732310541917559        0.003241790448505061       
Lambda        AB|SDSS|SDSS_r            5525.007528262087    All      0.00011861533627964324    4.573929823656471e-05      0.00017866109172996622     -1.5765299177873995e-05    
Lambda        AB|SDSS|SDSS_g            4228.210806254265    All      -0.0003250200027704954    0.00023055767023514307     -0.0008710195008796805     0.00014210032618407892     
Lambda        AB|SDSS|SDSS_u            3215.497446269809    All      -8.37235578367334e-05     5.651154856134751e-05      0.00018069995587685977     5.3742996857723356e-05     
Lambda        AB|SDSS|SDSS_z            7965.785844789794    All      -3.999757034939759e-06    -1.116150923059988e-07     -2.6705613511376463e-05    7.474687021993007e-08      
Lambda        AB|SDSS|SDSS_i            6700.03730098563     All      -0.0003938131847452562    -1.3213171127046678e-05    -0.0002470018906671608     0.00011295138586215262     
MWEBV         All|All|All               All                  All      -0.8234862883328056       -3.4509930726057902        0.5237229836187748         -0.8324940506570726        
Redshift      All|All|All               All                  All      1.7317437930463198        -0.14593514272362995       -8.742323906834983         -1.0017515671030433        
