#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                       8344.72885209631     All      0.06917556397849807        -0.004354226029690267      0.06951824634411352        -0.020848791615324033      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5997.772658193755    All      0.7068144553853298         -0.01713919695536248       -0.023434474957362283      -0.23686129492177554       
Zeropoint     AB|PS|PS_g                       4720.605088712054    All      -0.16391846732906445       0.22806627106062294        -0.09423173749314451       0.12347719555476436        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7278.155885431179    All      0.40371391497136244        -0.025058181912118727      0.27322990669218505        -0.12747218230184099       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5295.690318409899    All      0.22263763190876484        0.07167994326300331        -1.0734236396607866        -0.09707385253397045       
Zeropoint     AB|PS|PS_r                       5994.848000060049    All      0.338809853593849          0.006644296534652483       0.1270589945041145         -0.10252719049255142       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4549.904047115591    All      -0.4093325771826474        0.3366628415427009         -0.15383286522467898       0.2361303961529535         
Zeropoint     AB|PS|PS_i                       7261.059272476309    All      0.38212745249528596        -0.002783960171015565      0.5362896107564907         -0.10144616807578576       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4225.786551297054    All      -0.5677767184975898        0.40216904879146753        0.29662601441087233        0.32918030334310977        
Check         All|All|All                      All                  All      0.9822511093237886         0.9958868361242601         -0.042199944628196207      0.0025584151095793817      
Lambda        AB|PS|PS_z                       8344.72885209631     All      4.161973401264411e-05      -1.283250591301477e-06     5.3362064864531005e-05     -1.1593609679969005e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5997.772658193755    All      -0.00017194091104700328    -1.6061742946485942e-05    -0.00029527944916844806    3.759800767571334e-05      
Lambda        AB|PS|PS_g                       4720.605088712054    All      -7.005475195380302e-05     -5.239431194410245e-06     -0.0004098602932736531     2.8222998634860907e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7278.155885431179    All      -0.00016174812164499293    -1.9346733528938227e-05    -0.0005557201623569118     2.158557846031198e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5295.690318409899    All      -6.253577526436316e-05     -6.957459740856328e-06     -0.001034255048185862      -2.8050366800637228e-05    
Lambda        AB|PS|PS_r                       5994.848000060049    All      -6.414260207508248e-05     -1.2581941955904416e-05    -0.0001281598303713061     1.1075818683488318e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4549.904047115591    All      2.1207371755467205e-06     -4.278398827741445e-05     -0.00039341977834551694    -3.218346419749088e-05     
Lambda        AB|PS|PS_i                       7261.059272476309    All      -0.00019720713256614133    -3.2468770041112975e-05    -0.000761236739215833      1.9690204968227767e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4225.786551297054    All      -0.00017960401299743075    5.241459231472225e-05      -0.00037167186894237054    5.899008445180725e-05      
MWEBV         All|All|All                      All                  All      -0.7962350059267465        -3.930188021967851         0.03344176597055437        -1.0193392488935304        
Redshift      All|All|All                      All                  All      5.651059624778324          0.5576617451723997         7.73065679833862           -1.3141035499132032        
