#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                       8344.72885209631     All      0.1207940207828368         -0.01727283156380821       0.044525556599691526       -0.04298594498126621       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5997.772658193755    All      0.642762553992511          -0.0325175940915301        -0.05107365774632058       -0.2222401430603541        
Zeropoint     AB|PS|PS_g                       4720.605088712054    All      -0.2318827282523887        0.33012301728048143        0.11189946602955915        0.1880573199931335         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7278.155885431179    All      0.2795966184705711         -0.04496967678875308       0.06457679829097464        -0.10284015436269077       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5295.690318409899    All      0.18253585413218698        0.11755049169570597        -0.5094511790016181        -0.04390233679469143       
Zeropoint     AB|PS|PS_r                       5994.848000060049    All      0.5242690170867765         0.021630850556331183       0.05754421087808662        -0.16115785330297963       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4549.904047115591    All      -0.3873218570744073        0.31095090540604886        -0.13457204311405246       0.2214450790142772         
Zeropoint     AB|PS|PS_i                       7261.059272476309    All      0.31828569043444593        -0.02286586122099976       0.23669441949362222        -0.10056169908300308       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4225.786551297054    All      -0.45223873666807335       0.33358262518428106        0.1782407809594901         0.2639219377341383         
Check         All|All|All                      All                  All      0.996800432904459          0.9962119264577574         -0.0016156476105668172     -0.00026379484343624915    
Lambda        AB|PS|PS_z                       8344.72885209631     All      0.00010083276525932387     -1.2737684663180968e-05    4.2283055952819426e-05     -3.510673330845882e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5997.772658193755    All      -4.4109175504203334e-05    -1.120201762292436e-05     -0.00014080362043418515    4.435525042930165e-06      
Lambda        AB|PS|PS_g                       4720.605088712054    All      -6.152668563892422e-05     -1.3773580312649963e-05    -0.0004972975970831552     -6.637350317302284e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7278.155885431179    All      -7.772843285237899e-05     -1.7409366294105816e-06    -0.0002091323054004647     1.541901315410578e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5295.690318409899    All      -3.585542289879689e-06     1.2490271247104197e-05     -0.0005054813381050864     -1.732088918026481e-05     
Lambda        AB|PS|PS_r                       5994.848000060049    All      -5.776700439373995e-05     -1.2311064368070406e-05    -0.0001233696917434309     9.301072396358144e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4549.904047115591    All      -3.9392518350783525e-05    -1.6579927298253837e-05    -0.00041129410099126037    -1.0923355303997716e-05    
Lambda        AB|PS|PS_i                       7261.059272476309    All      -0.00015241997025860604    -7.704650529759458e-06     -0.00031491876090967725    3.308516269844326e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4225.786551297054    All      -0.00013050582226834266    5.950836442809322e-05      -0.00027845736037697915    4.946759880286311e-05      
MWEBV         All|All|All                      All                  All      -0.7727198616328428        -3.9401253546130555        0.03964858663060598        -1.0299588392872379        
Redshift      All|All|All                      All                  All      4.579075626019891          0.18751064451798527        3.8848155445166372         -1.2571157172322887        
