#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7247.627172337444    All      0.7392434917759553         -0.11048365011872008       0.37939760711834203        -0.2598533126122028       
Zeropoint     AB|PS|PS_r                5983.758240889605    All      1.0204433360702518         0.02444542762196633        -0.444156580252409         -0.3442499543787836       
Zeropoint     AB|PS|PS_g                4711.872528091323    All      -1.0560392640726277        1.1588850464284484         0.05282783054020454        0.7238311802231545        
Zeropoint     AB|PS|PS_z                8329.292091512641    All      0.29447809150627424        -0.07365197719915173       0.012925073587154222       -0.11933528782540256      
Check         All|All|All               All                  All      0.9981256552798535         0.9991948467325429         0.0009939309932917844      0.0003926254067655732     
Lambda        AB|PS|PS_i                7247.627172337444    All      -0.00042040542745933653    1.714996547516947e-05      -0.0007962150635900779     0.00010699476521910923    
Lambda        AB|PS|PS_r                5983.758240889605    All      -0.00010045911451290446    -1.8172812359793314e-05    -0.0002936293913190732     1.3700024606644338e-05    
Lambda        AB|PS|PS_g                4711.872528091323    All      -1.6945540773047145e-05    -0.00013402716873003236    -0.0009308805485114817     -7.967826159708738e-05    
Lambda        AB|PS|PS_z                8329.292091512641    All      0.00014645603718955406     -3.8542341306009955e-05    -0.00010006031066135387    -6.472529024630929e-05    
MWEBV         All|All|All               All                  All      -0.6868267043380656        -3.9697073612521727        0.03014519519375614        -1.0679969919128869       
Redshift      All|All|All               All                  All      4.980509046885123          1.1308775611506228         5.916668396000628          -0.9899178877792881       
