#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                7247.627172337444    All      0.685598159524841         -0.11283984451866402       0.13704314493670766        -0.25396191960494335      
Zeropoint     AB|PS|PS_r                5983.758240889605    All      1.0598686617879496        0.008803085931941013       -0.4452999714390393        -0.3622383296231782       
Zeropoint     AB|PS|PS_g                4711.872528091323    All      -1.0421081962202898       1.1731046821655156         0.272444578615888          0.7337256630801897        
Zeropoint     AB|PS|PS_z                8329.292091512641    All      0.29512932407120007       -0.06978910118133896       0.03873103108114062        -0.11713754853238528      
Check         All|All|All               All                  All      0.9984879491637005        0.9992788223974536         0.002918783194696961       0.0003878653196828785     
Lambda        AB|PS|PS_i                7247.627172337444    All      -0.0004246107964541098    2.186082451934685e-05      -0.0007054964759709568     0.00011394742793662399    
Lambda        AB|PS|PS_r                5983.758240889605    All      -0.0001593280788933339    -1.9777003195875263e-05    -0.00029822581830548305    3.2147927879350966e-05    
Lambda        AB|PS|PS_g                4711.872528091323    All      4.404144869595163e-05     -0.0002460354346246898     -0.0011771304653770758     -0.0001470175104486322    
Lambda        AB|PS|PS_z                8329.292091512641    All      0.0001465874814958966     -4.1088621314451145e-05    -0.00015631530602331305    -6.810791522330347e-05    
MWEBV         All|All|All               All                  All      -0.6891993173035273       -3.9666608200387365        0.03731176611961318        -1.0659119839663915       
Redshift      All|All|All               All                  All      5.068822124341893         1.5182859143411775         5.9824148296052275         -0.8895587551611724       
