#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      3.1707488583769687        -0.6763811426409916        0.6118477994373978        -1.225832850975582        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -2.172886201420864        1.6799980749715004         -0.6089027192875079       1.227838633175888         
Check         All|All|All                            All                  All      0.9978626569561047        1.0036169323305089         0.0029450801498898116     0.0020057822003058945     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      -0.0006088576445617956    0.0001103614461379632      -0.0004608937044792228    0.00021370575022348708    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -0.0004988348919903801    -1.0213596272133752e-05    -0.002475815656030411     4.867574945996092e-05     
MWEBV         All|All|All                            All                  All      -0.4514192338445593       -2.8333565325123544        -0.02012098174865291      -0.7767732485887169       
Redshift      All|All|All                            All                  All      1.8124286889574326        0.3803336892810094         -0.19353456782188252      -0.4751170148104304       
