#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      3.142690593404514          -0.6655508643424568       0.3526242657238332        -1.2247335287761583        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -2.1450715041561317        1.6691805245571345        -0.34678753786097083      1.22695183583919           
Check         All|All|All                            All                  All      0.9976190892483824         1.0036296602146777        0.005836727862862379      0.0022183070630317214      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6010.785018516964    All      -0.0007839545089695676     0.00014284918579035957    -0.0005592264683339324    0.00027693474547171935     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5019.440547411861    All      -0.00046180643514041463    -8.601746772275423e-05    -0.0027795815387048318    -1.6331281384044261e-06    
MWEBV         All|All|All                            All                  All      -0.45165855030508517       -2.83383471422205         -0.02407409252709325      -0.7770274640368654        
Redshift      All|All|All                            All                  All      2.6280905476664356         0.4380142820208377        0.20689904558253147       -0.7041469369383685        
