#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4765.401763832181    All      2.183698184607766         0.6949159409902705         4.775802087426574         -0.27182324353096243      
Zeropoint     AB|MEGACAMPSF|r           3896.928191351602    All      -1.2843183466242667       0.22208836069452786        -4.643244495646284        0.283479547692265         
Zeropoint     AB|MEGACAMPSF|g           3055.398700060234    All      -0.34522870640833025      0.056339752129730414       1.0638492182533805        0.17827876268363968       
Zeropoint     AB|MEGACAMPSF|z           5488.544166581838    All      0.44811961908949083       0.02875171193075232        -1.0457057765983166       -0.18326697021260846      
Check         All|All|All               All                  All      1.00227075066466          1.0020957657452811         0.1507010334353538        0.006668096632333809      
Lambda        AB|MEGACAMPSF|i           4765.401763832181    All      -0.0002838689468820388    -8.840693351842717e-05     -0.0008386592358328443    2.6242898389091852e-05    
Lambda        AB|MEGACAMPSF|r           3896.928191351602    All      -0.0013929223703764006    0.00018046649892754455     -0.006571617294600499     0.00021924342017709344    
Lambda        AB|MEGACAMPSF|g           3055.398700060234    All      -0.0010116952985786448    0.0001713138319609463      0.003279073859219581      0.0005316749997565712     
Lambda        AB|MEGACAMPSF|z           5488.544166581838    All      -4.156210964682608e-05    -2.4330612892690745e-06    0.00010636229268997635    1.7492078975923052e-05    
MWEBV         All|All|All               All                  All      -0.37260876770139517      -2.0859534556709747        0.9077878534553728        -0.5175823296567406       
Redshift      All|All|All               All                  All      3.1391321674579356        -0.09393202544245582       -1.8275256939798046       -1.1346694504806596       
