#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F606W       3680.316920019347    All      -1.0856221147719003        0.43932314918642135       -0.38525442570361423      0.4795327060706601        
Zeropoint     VEGAHST|ACSWF|F850LP      5536.766295694201    All      2.0708315233422705         0.42487478613697505       -0.4354647652977632       -0.5555750521339052       
Zeropoint     VEGAHST|ACSWF|F775W       4713.87804165811     All      -0.0402823402100283        0.24776297063162644       0.6350161737824394        0.12216368946249152       
Check         All|All|All               All                  All      0.9449270683603418         1.1119609059550228        -0.185703017218938        0.04612134339924641       
Lambda        VEGAHST|ACSWF|F606W       3680.316920019347    All      -0.00231272520492584       0.0011555975897495432     -0.0011956954273475951    0.0010763884433644178     
Lambda        VEGAHST|ACSWF|F850LP      5536.766295694201    All      -0.00015455324300275104    -0.0008169221911253219    -0.0022462887230691683    -0.0003159969065742824    
Lambda        VEGAHST|ACSWF|F775W       4713.87804165811     All      -0.0004302191771728052     0.0008393297897578787     -0.0017929235594233922    0.00033352392159272933    
MWEBV         All|All|All               All                  All      -0.20911961375316768       -1.998115710189019        -0.06905865661291329      -0.5858166555022217       
Redshift      All|All|All               All                  All      1.4820924798236148         2.1739330505154086        3.921552198144404         0.400356098318429         
