#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4382.057292466171    All      -0.3013768584258507        0.20912184713544058        0.009257143091606171       0.16669932708952487       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5482.184217106293    All      0.4211366097255873         0.1258386801474609         -0.06071601122770741       -0.09889772739945352      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6221.26571942862     All      0.657974635027543          -0.07961509965563884       0.06456967648341452        -0.23737579446415444      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5493.021912663705    All      0.38134011730516626        0.10032035188500821        -0.019160482357280816      -0.09239242719970864      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7549.359452434904    All      0.25141939334997704        -0.05174623412709245       0.051274341316201316       -0.09646288036376219      
Zeropoint     AB|CNIa02|SDSS_i                      7495.915116603222    All      0.18789398960134307        -0.03717178484201611       0.04127466645748834        -0.07146942838393593      
Zeropoint     AB|CNIa02|SDSS_r                      6181.306997254163    All      0.41416577608270133        -0.04629840468133306       0.053237452175429294       -0.14761258951661257      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4719.445648934324    All      -0.47073815982289785       0.43284274006056833        -0.002903372086538366      0.2941964618591565        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4383.250667777741    All      -0.5447742820187947        0.34339201132616015        -0.13640070636110194       0.28321804448647686       
Check         All|All|All                           All                  All      0.9970412208247746         0.9966841072485577         0.000432707491511114       -9.701389246902226e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4382.057292466171    All      -0.00011080637375010863    5.279718956237538e-05      -0.00010019304057818618    4.881990773722231e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5482.184217106293    All      5.314234956857336e-05      -0.00010520519055444604    -0.0008342552081630349     -8.880798164213523e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6221.26571942862     All      -0.00010689655667574391    -7.428407024793196e-06     -0.00014982921365389425    2.5713859081552836e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5493.021912663705    All      7.612026323620093e-05      -4.6664507353785156e-05    -0.0004682500086359226     -6.089088657104478e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7549.359452434904    All      -4.902516908857508e-05     -9.197240323945493e-06     -0.00012073758337707731    7.5853028801205196e-06    
Lambda        AB|CNIa02|SDSS_i                      7495.915116603222    All      -2.6802350242414168e-05    1.594791391472723e-06      -2.5747070559632413e-05    8.100909761308551e-06     
Lambda        AB|CNIa02|SDSS_r                      6181.306997254163    All      -5.527032662085814e-07     -6.721132055815952e-06     -4.4202049869262983e-05    -3.981794665047687e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4719.445648934324    All      -0.0001805263468282543     2.9437921857409127e-05     -0.0006362959220158756     3.999730533208094e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4383.250667777741    All      -0.0003460824755100226     0.0001771947924425082      -0.00027591060773619197    0.0001581359982712288     
MWEBV         All|All|All                           All                  All      -0.9001749368146106        -4.1146115068492195        0.016933075837591148       -1.0462920972784557       
Redshift      All|All|All                           All                  All      5.361596309107095          0.4019538801840916         2.3029593264983284         -1.5127482088575679       
