#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4382.057292466171    All      -0.37784242636363186       0.24872187123400336        -0.04149230920006408       0.20224099388834738        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5482.184217106293    All      0.3897677046509986         0.11697138751075586        0.04560298750749814        -0.086823683339321         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6221.26571942862     All      0.6297595675413227         -0.06539360112576276       0.07177025565305861        -0.22323148001388154       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5493.021912663705    All      0.42834388804968326        0.10619255130857042        0.030476325379014124       -0.1035752704117876        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7549.359452434904    All      0.229780744596276          -0.04239216874705187       0.05542025516924731        -0.08618252064662574       
Zeropoint     AB|CNIa02|SDSS_i                      7495.915116603222    All      0.18018795753277758        -0.03339886345727905       0.03700741331925661        -0.0679207835066184        
Zeropoint     AB|CNIa02|SDSS_r                      6181.306997254163    All      0.47303642285027486        -0.04735111915828982       0.05846547005660119        -0.16689829726736494       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4719.445648934324    All      -0.45267579006340053       0.40038291463667663        -0.11163916054443002       0.27288734192361247        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4383.250667777741    All      -0.50446597586771          0.31325342913707255        -0.14251468901660402       0.25999833635488856        
Check         All|All|All                           All                  All      0.9958920929265906         0.9969864013386953         0.0030965483235778635      0.0004946369812491302      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4382.057292466171    All      -9.153647804571572e-05     3.456999825810818e-05      -0.00013772033297015007    3.493120217814767e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5482.184217106293    All      9.457516385435739e-05      -8.131143848006859e-05     -0.0006792681286737852     -8.760466969470182e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6221.26571942862     All      -0.00018181711654354746    -7.516779605099172e-06     -0.00027903402747538254    4.432334696231951e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5493.021912663705    All      -7.05258676559164e-09      -4.409244539235128e-05     -0.000600671354479209      -4.1165266569784146e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7549.359452434904    All      -4.945265112386808e-05     -4.4519007435079307e-07    -8.079739201494628e-05     1.2357725844778388e-05     
Lambda        AB|CNIa02|SDSS_i                      7495.915116603222    All      -3.498830656885854e-05     2.8572225478194744e-06     -2.9884667879791376e-05    1.0993918442067296e-05     
Lambda        AB|CNIa02|SDSS_r                      6181.306997254163    All      -2.848678526214342e-05     -1.3892052981942679e-05    -8.227371120904508e-05     1.0824865943197286e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4719.445648934324    All      -0.00010670445777710382    -0.00010024529123992345    -0.0008938949790563367     -3.778646436271589e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4383.250667777741    All      -0.00024411040204649193    0.00011350363136950221     -0.0002757133824264736     0.00010418283388389813     
MWEBV         All|All|All                           All                  All      -0.9191846575367637        -4.107991997916127         0.014784795315769816       -1.0380396818961246        
Redshift      All|All|All                           All                  All      4.658801069146108          1.1243806406293522         1.8959810721710046         -1.0666680852212798        
