#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R            6365.058067303609    All      0.6657922632400327         -0.08373260286171913      -0.14298829197702673       -0.250525818274464         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V            5365.34750349999     All      0.257455843467999          0.2687622578843474        -0.15630217735775193       -0.003292177160151011      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I            7890.298148110916    All      0.18967578816695488        -0.04811664662494053      -0.011071262784560776      -0.07795087876005871       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4334.605783951091    All      -0.40866219356509215       0.2864708513895309        -0.025044514182560873      0.2253100802969421         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7875.438822263092    All      0.15902573834471728        -0.028490678553882987     0.11065569325874741        -0.05614221072382797       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6480.785053609743    All      0.4860914122178352         -0.05692598828979101      0.09185650785574345        -0.17277949802325387       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5422.819883484617    All      0.2596973578742569         0.17592579201863856       -0.019443317274260574      -0.028154820951854093      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B            4375.660074435047    All      -0.6254707949267295        0.4842909872072809        0.12158253395452151        0.36691159260123124        
Check         All|All|All                               All                  All      0.9836054148199741         0.9981839721694641        -0.0307548285071485        0.0033762690045637256      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R            6365.058067303609    All      -0.0001954369192856104     -4.603586391293345e-07    -0.0002771821461975772     5.114091420762638e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V            5365.34750349999     All      1.9817359549245686e-05     1.3440227864704366e-05    -0.0005414950654945649     -2.6241679367197628e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I            7890.298148110916    All      2.3686176306507052e-05     3.987907655341616e-06     0.00010529563413834992     -1.7175136072350152e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4334.605783951091    All      -0.00013174957343626808    3.7140817652423247e-05    -0.00040661180969868573    3.686793914005582e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7875.438822263092    All      1.0445194374284803e-05     -2.285718271760554e-06    4.192603671576349e-06      -3.9597804374721165e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6480.785053609743    All      -0.00013997358437674933    9.52963309626129e-06      -8.5465651905354e-05       4.4884176925725446e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5422.819883484617    All      -2.0484839541091393e-05    -8.108994129713838e-06    -0.0004428807328404474     -1.5732513025330213e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B            4375.660074435047    All      -0.0002444562660185747     7.719935661104765e-05     -0.0006152137411248098     7.731965475424214e-05      
MWEBV         All|All|All                               All                  All      -0.8386778498742524        -4.0635780110322095       0.0373017867368125         -1.0487914711319262        
Redshift      All|All|All                               All                  All      3.64201190569332           -0.31523662575274614      -1.3348847350723656        -1.348575811124098         
