#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K2_R
@MAGSYS  Linear_AB11_off
51405.42  15.628  0.017
51406.42  15.442  0.017
51409.42  15.072  0.029
51410.44  15.003  0.031
51411.43  14.948  0.015
51412.42  14.919  0.025
51413.4  14.898  0.025
51415.37  14.819  0.046
51416.35  14.854  0.01
51417.33  14.846  0.016
51423.38  15.095  0.016
51425.44  15.264  0.024
51429.39  15.501  0.013
51431.39  15.548  0.014
51433.36  15.596  0.012
51439.35  15.669  0.01
51450.4  16.25  0.038
51458.28  16.622  0.023
51461.29  16.705  0.022
51464.29  16.808  0.022
51467.27  16.92  0.041
51470.27  17.052  0.035
51478.24  17.245  0.033
