#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R            6365.058067303609    All      0.690024839086297          -0.08376437984320972       -0.07676545678601512       -0.2554742952798667        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V            5365.34750349999     All      0.245419156883616          0.2632777932932484         -0.17512757285320946       -0.0019979938342857646     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I            7890.298148110916    All      0.2149255364406612         -0.05227064753583477       0.01897939855512565        -0.08618762422620317       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4334.605783951091    All      -0.44689453144050695       0.3013241373182929         -0.0804732132841092        0.24012828616901527        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7875.438822263092    All      0.1741412314186864         -0.03202890316647          0.12123783205381443        -0.061746108011004504      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6480.785053609743    All      0.5072335566199923         -0.059139983347478164      0.12031853994961968        -0.17911723126852527       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5422.819883484617    All      0.2600557499421448         0.179280231722867          0.04696687389100014        -0.02421532784892859       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B            4375.660074435047    All      -0.6481466730844297        0.48017942894462706        0.025400658052946393       0.368666446964922          
Check         All|All|All                               All                  All      0.9967588658664611         0.9968576773860427         0.0005370595791725809      5.6152665123210266e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R            6365.058067303609    All      -0.00019669317957703194    3.787571111856151e-06      -0.0002478069601066084     5.4244689626802195e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V            5365.34750349999     All      4.629131173508842e-05      4.42630035424868e-06       -0.0004801482035442382     -3.5063620607948014e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I            7890.298148110916    All      2.1093705582941344e-05     6.1466709259619756e-06     0.0001175488811768732      3.7692575382809877e-07     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4334.605783951091    All      -0.00015865692373544357    4.0536876606310584e-05     -0.00044138919930944155    4.5186801314775456e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7875.438822263092    All      9.771751895426326e-06      -1.7338133958995145e-06    9.58763641049373e-06       -3.319888958660651e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6480.785053609743    All      -0.00014078313254748155    1.3013455168058682e-05     -7.989727093766999e-05     4.6531160129341846e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5422.819883484617    All      4.898162531225179e-06      -1.5440013095529057e-05    -0.0004263739604397059     -2.5651924497392163e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B            4375.660074435047    All      -0.00023895264692859252    6.510416979532874e-05      -0.0006429330130768907     7.035016089002841e-05      
MWEBV         All|All|All                               All                  All      -0.8391516762676567        -4.063296443172959         0.041615800951905285       -1.0483528997312348        
Redshift      All|All|All                               All                  All      3.7158991466189737         -0.18943208707113968       -0.6227475262019362        -1.2998852263126315        
