#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7405.177947231739    All      0.5140730185459623         -0.06336942051952121       0.2743830778186407         -0.1758475431284462        
Zeropoint     AB|CNIa02|SDSS_g                      4673.205836348845    All      -0.7552208227357107        0.8148862224514275         0.5235220617883618         0.5347979047726853         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.823023029878    All      0.7357772108684534         0.09582706810808972        -0.1814336038697295        -0.21654936367769273       
Zeropoint     AB|CNIa02|SDSS_r                      6106.483004289694    All      1.1290299076989374         -0.11628951500526341       -0.03634773980252248       -0.40726353845509655       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.013005203455    All      -0.6248665078542146        0.26655686896797093        -0.5795334216458947        0.26450400588166056        
Check         All|All|All                           All                  All      0.9987928065234278         0.9976112240027035         0.0005903742888557773      -0.0003585346068896156     
Lambda        AB|CNIa02|SDSS_i                      7405.177947231739    All      -6.56747466742615e-05      2.7533854784849613e-06     -9.519051689008844e-05     1.804137828625549e-05      
Lambda        AB|CNIa02|SDSS_g                      4673.205836348845    All      -0.00035067985043883866    -2.9495208059286808e-05    -0.002188345312315596      6.96460410173132e-06       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.823023029878    All      5.237560749350716e-05      3.9570411509708046e-05     -0.00032584086755252476    -1.8711854996252445e-05    
Lambda        AB|CNIa02|SDSS_r                      6106.483004289694    All      7.346355893550767e-05      -2.941613254450054e-05     -0.00018369297066258043    -4.1708673765726955e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.013005203455    All      -0.0003598660585390243     9.725006662012064e-05      -0.0005441136111109746     0.0001246164691977008      
MWEBV         All|All|All                           All                  All      -0.8674996439730185        -4.057518570526675         0.03372248006341394        -1.037589233480446         
Redshift      All|All|All                           All                  All      4.092538908223747          -0.0752220041097651        4.351295186637083          -1.1633985250046357        
