#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7405.177947231739    All      0.5057498048598923         -0.06217229440625971       0.19320081937595415        -0.17636924658359815       
Zeropoint     AB|CNIa02|SDSS_g                      4673.205836348845    All      -0.7700173396734709        0.8476615468348214         0.5650828359930314         0.5521482850291002         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.823023029878    All      0.6735521647026049         0.08204840786643075        -0.18619125354735377       -0.2009810939974468        
Zeropoint     AB|CNIa02|SDSS_r                      6106.483004289694    All      1.1534141158933344         -0.10701810022784031       -0.040757981858529205      -0.41238308131459067       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4329.013005203455    All      -0.5644487172983058        0.23771634578544365        -0.5275569771169504        0.23774910658590467        
Check         All|All|All                           All                  All      0.9982500284840551         0.9982359058525958         0.0037774428461522236      0.00016396971936924465     
Lambda        AB|CNIa02|SDSS_i                      7405.177947231739    All      -3.9452903746979624e-05    2.5209640807655617e-06     -4.043523104185465e-05     1.186783100163228e-05      
Lambda        AB|CNIa02|SDSS_g                      4673.205836348845    All      -0.00028114685393132086    -0.00013169586649920695    -0.0018654515849336813     -3.4565433128273765e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.823023029878    All      0.00011299107298043573     6.335614880115772e-07      -0.00026716496083873287    -4.8520883103365e-05       
Lambda        AB|CNIa02|SDSS_r                      6106.483004289694    All      -1.9435177179666364e-05    -9.186866794917955e-06     -0.00014014277777812945    -2.9157166680310507e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4329.013005203455    All      -0.0002255484861707212     5.135258927302468e-05      -0.0004981052670832928     6.796763969163999e-05      
MWEBV         All|All|All                           All                  All      -0.8691921050368303        -4.055157526204223         0.026198077257276416       -1.0366046529586794        
Redshift      All|All|All                           All                  All      3.9797373234796125         0.614602903754502          3.402793976613794          -0.9442839234296485        
