#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3684.1071431541422    All      -0.778538673725827         0.4143617973232594        -0.34037627736715853      0.37337749871328524        
Zeropoint     AB|DECam|DECam_r          4896.4520824392       All      0.38378481375521734        0.4705615532811791        1.0471453064861902        0.07499532459757977        
Zeropoint     AB|DECam|DECam_z          6970.858182625701     All      0.6651653965815041         0.06105021782314424       1.3535471021896552        -0.13637759796689805       
Zeropoint     AB|DECam|DECam_i          5948.577701552233     All      0.7260122328010896         0.05269034395141148       -2.051672127794524        -0.3108797949047322        
Check         All|All|All               All                   All      0.9964237694119839         0.9986639123789942        0.008644003514163057      0.0011154304392347325      
Lambda        AB|DECam|DECam_g          3684.1071431541422    All      -0.001379772646582847      0.0005746999964856541     -0.002234126271208598     0.0005369372455742421      
Lambda        AB|DECam|DECam_r          4896.4520824392       All      -0.00011787476243779317    -4.440759622824189e-05    -0.0010600680652959158    -2.3375296005208204e-05    
Lambda        AB|DECam|DECam_z          6970.858182625701     All      -0.00046574268577304176    -4.093746251617804e-05    -0.0009231683773217541    9.717627217061349e-05      
Lambda        AB|DECam|DECam_i          5948.577701552233     All      -8.060380286657504e-05     -6.354784537782079e-06    0.00017234216494608763    3.1876187272445263e-05     
MWEBV         All|All|All               All                   All      -0.4715300215868581        -2.8080308205076676       0.1939591214827768        -0.752419674031814         
Redshift      All|All|All               All                   All      7.176008235891824          -0.19429664803549684      11.0102020699275          -1.9094160261717439        
