#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5192.080838319044    All      0.21233995346306206        0.6700892844744288        -0.26256568039582096      0.13738691622056654       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4206.46106270997     All      -0.9187598355398733        0.5857742673748945        0.3496604452265517        0.50567999475922          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6187.915823190164    All      1.3797230417319246         -0.18985390006669434      -0.4706401682765593       -0.5322653566294813       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7995.921241176356    All      0.3478269940408256         -0.06948975643075173      0.5463875268351126        -0.1115510290863736       
Check         All|All|All                       All                  All      1.021130153695939          0.9965198953518772        0.16284212338928405       -0.0007494747360683451    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5192.080838319044    All      -0.0002567734327683603     0.00021062032237676175    -0.0030712196638189894    1.5191094854045743e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4206.46106270997     All      -0.0006516982753149653     0.00032306428045411313    -0.0003882086765733183    0.0003001882628920306     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6187.915823190164    All      -0.00043136283149461277    4.344771919893032e-05     -0.0007637799482121055    0.00012057742598973442    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7995.921241176356    All      -2.4168021187165947e-05    4.064789183646403e-06     -9.329060472348812e-05    5.033223949086149e-06     
MWEBV         All|All|All                       All                  All      -0.8129796670675593        -3.9648066488435774       0.184274414936203         -1.018430419195361        
Redshift      All|All|All                       All                  All      7.461591050149072          -1.6565215359921837       18.203986401688677        -2.1577089410781456       
